GeoName,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colorado,All industry total,264791078,268680788,273519504,282533885,295698588,309179631,316751784,329573719,341076739
Colorado,  Private industries,229708099,233908957,238837764,247964297,260615026,272995774,279840689,291952513,302955330
Colorado,"    Agriculture, forestry, fishing and hunting",3096380,2889383,2559735,2587139,2877852,3504236,3812901,3147159,3054639
Colorado,"    Mining, quarrying, and oil and gas extraction",11787567,11967047,12347303,13107242,16403575,18629707,17241375,18933465,19424998
Colorado,    Utilities,3699966,3819577,3765227,3591164,3591288,3594381,3654387,3562008,3571895
Colorado,    Construction,9728090,9733954,10082838,11940545,13360363,14295063,15149661,15849510,16512210
Colorado,    Manufacturing,21107091,21152797,20770899,21179230,22096809,22599631,22331855,23461152,24577934
Colorado,      Durable goods manufacturing,12277722,12839270,13192344,13765942,13689218,13986321,13976999,14869033,15383187
Colorado,      Nondurable goods manufacturing,8901180,8332300,7578556,7411720,8407465,8613072,8355199,8593841,9189768
Colorado,    Wholesale trade,15058328,15169000,15819809,16391227,17350745,18132405,18209280,18939358,19073302
Colorado,    Retail trade,14776532,14610573,14809710,15201973,15717038,16514112,17353407,18036481,18551142
Colorado,    Transportation and warehousing,7559311,7293967,7757159,9662383,10455636,11004007,10970012,11498136,12354238
Colorado,    Information,18623506,18730760,17874139,19196212,19408950,19276654,20060578,21306804,21971340
Colorado,"    Finance, insurance, real estate, rental, and leasing",50629643,53035146,54129876,54243829,54662186,57225755,59909748,62101443,64116814
Colorado,      Finance and insurance,14182505,14739430,15595010,15113468,15027681,15452376,15835930,15946307,16367704
Colorado,      Real estate and rental and leasing,36441832,38285393,38534866,39134859,39647832,41803888,44134218,46264457,47875349
Colorado,    Professional and business services,37073280,38095718,40676929,41129100,43345507,44718492,45505099,48829198,51639944
Colorado,"      Professional, scientific, and technical services",24037131,24731853,25729356,26768434,27989181,28881057,30162564,31527946,33825083
Colorado,      Management of companies and enterprises,5159788,5400543,6486941,5915729,6488203,6863774,6327340,7744788,7628876
Colorado,      Administrative and support and waste management and remediation services,7876330,7963303,8460632,8444244,8871757,8987019,9016770,9599896,10196705
Colorado,"    Educational services, health care, and social assistance",19138332,19477153,19976135,20252845,21040733,22185289,23121576,23520846,24299966
Colorado,      Educational services,2565728,2543804,2602343,2601171,2655999,2674225,2750118,2681586,2734607
