GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colorado,264791078,268680788,273519504,282533885,295698588,309179631,316751784,329573719,341076739
"Adams, CO*",18284799,18379281,18583034,19084472,20324722,21039417,21995795,22938605,23933937
"Alamosa, CO",614762,637660,614267,600333,600714,662337,659375,654314,671553
"Arapahoe, CO",32351649,33490827,34093393,36272073,38302465,39956471,41013746,42654549,44037874
"Archuleta, CO",403415,399376,419589,424356,440306,464385,481176,479089,482935
"Baca, CO",227075,212165,145896,175999,133594,118407,121877,127452,137473
"Bent, CO",181098,186608,164357,171723,167051,172963,181238,163672,165660
"Boulder, CO*",20453633,20369551,20432621,20865085,21597092,22669578,23423069,24607654,25319458
"Broomfield, CO*",6006842,6486965,6984737,7233944,7053166,7595628,7596604,8366371,8050690
"Chaffee, CO",547545,550462,556676,566759,585605,606033,634208,662174,692114
"Cheyenne, CO",279212,249932,221785,239873,223024,217923,230128,251808,235536
"Clear Creek, CO",611362,606532,518277,576577,607080,639648,494493,509932,500533
"Conejos, CO",160318,183995,173656,189206,190670,215666,216947,222447,244248
"Costilla, CO",86912,102969,88851,96042,98935,107006,96329,104746,107662
"Crowley, CO",108883,100446,127998,128166,131090,168503,182013,153741,126638
"Custer, CO",120358,119607,118117,122440,128004,140388,126686,125904,127789
"Delta, CO",796184,873857,897094,864211,821156,791826,756267,750050,785652
"Denver, CO",52411746,53140758,54750675,57610110,60332265,64116859,64925150,67039713,70054379
"Dolores, CO",172483,154468,102828,115344,220030,216453,191724,188029,156585
"Douglas, CO",11008499,11381305,12582070,12808827,13494310,14173343,14332960,15226588,15743268
"Eagle, CO",2730961,2655963,2569140,2826452,2990311,3136360,3216484,3308719,3375460
"Elbert, CO",361430,362491,370606,398820,397288,408333,423323,451766,484094
"El Paso, CO",28041400,28680179,28776560,29118575,29467826,30201637,30907788,32265733,33349174
"Fremont, CO",1228271,1248891,1231277,1195953,1202543,1248334,1269874,1295616,1325142
"Garfield, CO",4198961,3958501,3816191,3841346,4148049,4230409,4246153,4301192,4243642
"Gilpin, CO",635406,586556,537548,526928,501865,505564,503282,552434,525142
"Grand, CO",624448,621429,606255,620328,632620,653776,661941,685071,714703
"Gunnison, CO",1161321,1125293,1108495,952371,940259,923743,943497,1012690,1028922
"Hinsdale, CO",46278,47171,47290,46740,47608,48200,47982,52284,52699
"Huerfano, CO",261032,229511,207675,215453,231300,233778,246665,271378,273895
"Jackson, CO",78839,82592,67984,70519,78749,89185,93650,98742,118656
"Jefferson, CO*",24002698,24029939,24116713,24390030,25177789,26075796,27600781,28434307,29445620
"Kiowa, CO",100186,94753,93751,98949,89237,84548,83008,90628,73798
"Kit Carson, CO",521130,437716,392480,362369,343626,318197,325292,331713,391520
"Lake, CO",186846,206078,278563,278772,294343,277307,266524,296883,309433
"La Plata, CO",3501346,3253812,3162531,3437019,3650411,3499160,3674622,3650188,3515882
"Larimer, CO",12632341,12807724,13104708,13582127,14114143,14784676,15358832,16121584,16793330
"Las Animas, CO",804924,723885,684577,683882,731042,718839,736109,723964,711460
"Lincoln, CO",203937,246646,291455,324359,352881,363542,374098,396871,391910
"Logan, CO",1072653,1062647,1080428,1095653,1137663,1217271,1235667,1090097,1061679
"Mesa, CO",5651982,5683788,5646768,5560834,5723592,5757436,5695220,5970021,6253144
"Mineral, CO",52592,58403,62167,66639,66123,70751,68993,73103,77089
"Moffat, CO",1227566,1194784,1118184,1071305,1100100,1042946,1045120,1026134,987890
"Montezuma, CO",1291287,1683342,1534375,1275323,1600478,1808550,1888742,2024058,1799102
"Montrose, CO",1300252,1285643,1275629,1236207,1253955,1301522,1314618,1359203,1413627
"Morgan, CO",1359513,1334732,1377968,1379677,1449472,1527903,1494827,1559780,1592344
"Otero, CO",570262,586274,578519,596313,570149,597938,580665,579125,594219
"Ouray, CO",155741,148083,159276,187002,197957,214088,193107,196871,200510
"Park, CO",338537,338404,336480,329091,328877,349626,364585,383734,400803
"Phillips, CO",238233,262007,238405,224237,221465,198867,217901,202394,213315
"Pitkin, CO",1563849,1554747,1585597,1668990,1768101,1810200,1864163,1871595,1900883
"Prowers, CO",593972,536873,565681,576831,532691,562738,593064,541959,585362
"Pueblo, CO",5274674,5441708,5589514,5495976,5450844,5633254,5793524,5936817,6084945
"Rio Blanco, CO",873330,838389,807629,793957,852995,816272,762354,754490,736488
"Rio Grande, CO",394589,414147,373685,372792,376356,435710,439984,424683,435646
"Routt, CO",1915342,1931576,1859168,1782659,1742980,1606787,1596244,1648606,1676236
"Saguache, CO",169761,196032,165799,151318,148143,183987,178250,166002,170660
"San Juan, CO",43729,46664,46672,51640,47974,49355,41257,44580,44681
"San Miguel, CO",490222,477511,465064,495348,539119,612657,607530,607756,630972
"Sedgwick, CO",148309,147671,143865,138042,150058,131811,141744,124544,122461
"Summit, CO",1788050,1773473,1737460,1770425,1817176,1954242,1997326,2100690,2144107
"Teller, CO",786716,777911,759624,769053,792060,832946,821374,880866,858144
"Washington, CO",274309,273791,250054,245170,252720,219055,228338,199232,240624
"Weld, CO*",10481889,10901589,11925849,13208351,15640435,17290520,17607226,18767550,20531235
"Yuma, CO",781861,755118,795924,755449,810483,817648,861732,781972,673264
