Year,County,Offense Type,Number of Arrests
2012,Adams,MJPossession,6
2012,Adams,MJPossession,5
2012,Adams,MJPossession,1
2012,Adams,MJPossession,1
2012,Adams,MJPossession,33
2012,Adams,MJPossession,4
2012,Adams,MJPossession,2
2012,Adams,MJSales,1
2012,Adams,MJPossession,3
2012,Adams,MJPossession,17
2012,Adams,MJPossession,2
2012,Adams,MJPossession,3
2012,Adams,MJPossession,8
2012,Adams,MJPossession,30
2012,Adams,MJPossession,7
2012,Adams,MJPossession,1
2012,Adams,MJProduction,2
2012,Adams,MJPossession,5
2012,Adams,MJPossession,3
2012,Adams,MJPossession,46
2012,Adams,MJPossession,2
2012,Adams,MJPossession,10
2012,Adams,MJPossession,6
2012,Adams,MJPossession,59
2012,Adams,MJSales,1
2012,Adams,MJPossession,2
2012,Adams,MJPossession,8
2012,Adams,MJPossession,23
2012,Adams,MJPossession,10
2012,Adams,MJPossession,2
2012,Adams,MJPossession,39
2012,Adams,MJPossession,1
2012,Adams,MJPossession,109
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,4
2012,Adams,MJUnknown,2
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,1
2012,Alamosa,MJPossession,1
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,12
2012,Arapahoe,MJPossession,7
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,26
2012,Arapahoe,MJPossession,9
2012,Arapahoe,MJPossession,39
2012,Location not Available,MJPossession,4
2012,Location not Available,MJPossession,26
2012,Location not Available,MJPossession,171
2012,Location not Available,MJPossession,9
2012,Location not Available,MJPossession,3
2012,Location not Available,MJProduction,1
2012,Location not Available,MJSales,1
2012,Location not Available,MJSales,2
2012,Location not Available,MJSales,1
2012,Location not Available,MJUnknown,1
2012,Location not Available,MJUnknown,8
2012,Location not Available,MJUnknown,8
2012,Location not Available,MJUnknown,54
2012,Location not Available,MJUnknown,1
2012,Location not Available,MJUnknown,1
2012,Adams,MJPossession,2
2012,Adams,MJPossession,18
2012,Adams,MJPossession,1
2012,Adams,MJPossession,200
2012,Adams,MJSales,1
2012,Adams,MJPossession,1
2012,Adams,MJPossession,3
2012,Adams,MJPossession,1
2012,Adams,MJPossession,13
2012,Adams,MJPossession,1
2012,Adams,MJPossession,16
2012,Adams,MJSales,1
2012,Adams,MJUnknown,5
2012,Adams,MJUnknown,2
2012,Adams,MJPossession,8
2012,Adams,MJPossession,23
2012,Adams,MJPossession,8
2012,Adams,MJProduction,1
2012,Adams,MJSales,3
2012,Adams,MJPossession,1
2012,Adams,MJPossession,1
2012,Adams,MJPossession,17
2012,Adams,MJPossession,2
2012,Adams,MJPossession,7
2012,Adams,MJPossession,1
2012,Adams,MJPossession,1
2012,Adams,MJPossession,9
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,11
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,4
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,20
2012,Arapahoe,MJUnknown,1
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,10
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,13
2012,Arapahoe,MJPossession,8
2012,Arapahoe,MJPossession,38
2012,Arapahoe,MJPossession,4
2012,Arapahoe,MJPossession,6
2012,Arapahoe,MJPossession,1
2012,Archuleta,MJPossession,1
2012,Archuleta,MJPossession,2
2012,Baca,MJPossession,1
2012,Baca,MJPossession,2
2012,Basalt PD,MJPossession,1
2012,Basalt PD,MJPossession,6
2012,Boulder,MJPossession,2
2012,Boulder,MJPossession,3
2012,Boulder,MJPossession,3
2012,Boulder,MJUnknown,1
2012,Boulder,MJUnknown,2
2012,Boulder,MJUnknown,3
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,11
2012,Boulder,MJUnknown,2
2012,Boulder,MJUnknown,2
2012,Boulder,MJPossession,5
2012,Boulder,MJPossession,14
2012,Boulder,MJPossession,16
2012,Boulder,MJSales,1
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,252
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,4
2012,Broomfield,MJPossession,1
2012,Broomfield,MJPossession,1
2012,Broomfield,MJPossession,75
2012,Broomfield,MJSales,1
2012,Broomfield,MJUnknown,1
2012,Chaffee,MJPossession,8
2012,Chaffee,MJPossession,1
2012,Clear Creek,MJPossession,3
2012,Clear Creek,MJPossession,1
2012,Clear Creek,MJPossession,1
2012,Clear Creek,MJUnknown,1
2012,Clear Creek,MJPossession,1
2012,Clear Creek,MJUnknown,1
2012,Conejos,MJPossession,1
2012,Delta,MJPossession,1
2012,Denver,MJPossession,1
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,11
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,19
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,8
2012,Arapahoe,MJPossession,30
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,52
2012,Arapahoe,MJPossession,59
2012,Arapahoe,MJPossession,49
2012,Arapahoe,MJProduction,1
2012,Arapahoe,MJProduction,1
2012,Arapahoe,MJSales,1
2012,Arapahoe,MJSales,1
2012,Arapahoe,MJSales,1
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,14
2012,Arapahoe,MJPossession,4
2012,Arapahoe,MJPossession,4
2012,Arapahoe,MJPossession,14
2012,Arapahoe,MJPossession,12
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,16
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,7
2012,Arapahoe,MJPossession,24
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,1
2012,Denver,MJPossession,2
2012,Denver,MJPossession,7
2012,Denver,MJProduction,2
2012,Denver,MJSales,2
2012,Denver,MJSales,1
2012,Denver,MJSales,3
2012,Denver,MJSales,24
2012,Denver,MJSales,13
2012,Denver,MJSales,19
2012,Denver,MJSales,5
2012,Denver,MJUnknown,2
