Year,County,Offense Type,Number of Offenses
2012,Adams,MJPossession,2
2012,Adams,MJProduction,17
2012,Adams,MJUnknown,7
2012,Adams,MJPossession,1
2012,Adams,MJPossession,1
2012,Adams,MJPossession,71
2012,Adams,MJSales,1
2012,Adams,MJSales,1
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,2
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,1
2012,Adams,MJPossession,4
2012,Adams,MJPossession,25
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,5
2012,Adams,MJPossession,3
2012,Adams,MJPossession,2
2012,Adams,MJUnknown,1
2012,Adams,MJUnknown,2
2012,Adams,MJPossession,109
2012,Adams,MJPossession,3
2012,Adams,MJPossession,17
2012,Adams,MJPossession,1
2012,Adams,MJPossession,1
2012,Adams,MJPossession,84
2012,Adams,MJPossession,28
2012,Adams,MJSales,3
2012,Adams,MJSales,5
2012,Adams,MJPossession,1
2012,Adams,MJPossession,4
2012,Adams,MJPossession,25
2012,Adams,MJPossession,1
2012,Adams,MJProduction,1
2012,Adams,MJProduction,3
2012,Adams,MJUnknown,6
2012,Arapahoe,MJPossession,7
2012,Arapahoe,MJPossession,5
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,10
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,5
2012,Arapahoe,MJProduction,1
2012,Arapahoe,MJProduction,63
2012,Arapahoe,MJSales,1
2012,Arapahoe,MJSales,5
2012,Arapahoe,MJUnknown,1
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,12
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,14
2012,Arapahoe,MJPossession,11
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,6
2012,Arapahoe,MJPossession,21
2012,Arapahoe,MJUnknown,1
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJUnknown,1
2012,Arapahoe,MJUnknown,1
2012,Arapahoe,MJPossession,4
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,4
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,4
2012,Boulder,MJPossession,10
2012,Boulder,MJPossession,19
2012,Boulder,MJPossession,3
2012,Boulder,MJUnknown,3
2012,Boulder,MJPossession,2
2012,Alamosa,MJPossession,1
2012,Alamosa,MJPossession,1
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,2
2012,Arapahoe,MJPossession,1
2012,Arapahoe,MJPossession,11
2012,Arapahoe,MJPossession,3
2012,Arapahoe,MJPossession,400
2012,Arapahoe,MJPossession,20
2012,Arapahoe,MJPossession,4
2012,Arapahoe,MJProduction,3
2012,Arapahoe,MJSales,1
2012,Arapahoe,MJSales,12
2012,Arapahoe,MJSales,7
2012,Arapahoe,MJSales,4
2012,Arapahoe,MJSmuggle,1
2012,Arapahoe,MJUnknown,3
2012,Douglas,MJUnknown,2
2012,Douglas,MJPossession,1
2012,Douglas,MJPossession,16
2012,Douglas,MJPossession,18
2012,Douglas,MJUnknown,1
2012,Douglas,MJPossession,11
2012,Douglas,MJPossession,1
2012,Douglas,MJPossession,7
2012,Douglas,MJSales,1
2012,Eagle,MJPossession,22
2012,Eagle,MJPossession,1
2012,Eagle,MJPossession,8
2012,Eagle,MJProduction,2
2012,Eagle,MJPossession,1
2012,Eagle,MJPossession,2
2012,Eagle,MJPossession,2
2012,Eagle,MJPossession,6
2012,Eagle,MJUnknown,3
2012,Eagle,MJUnknown,3
2012,Eagle,MJPossession,7
2012,Eagle,MJPossession,1
2012,Eagle,MJPossession,1
2012,Eagle,MJPossession,8
2012,Eagle,MJPossession,1
2012,Eagle,MJPossession,3
2012,El Paso,MJPossession,1
2012,El Paso,MJPossession,5
2012,El Paso,MJPossession,1
2012,El Paso,MJPossession,51
2012,El Paso,MJPossession,4
2012,El Paso,MJPossession,1
2012,El Paso,MJSales,1
2012,El Paso,MJSales,13
2012,El Paso,MJSales,7
2012,El Paso,MJSales,1
2012,El Paso,MJSmuggle,1
2012,El Paso,MJUnknown,1
2012,El Paso,MJUnknown,2
2012,El Paso,MJPossession,1
2012,El Paso,MJUnknown,43
2012,El Paso,MJUnknown,1
2012,El Paso,MJUnknown,1
2012,El Paso,MJPossession,50
2012,El Paso,MJPossession,2
2012,El Paso,MJProduction,2
2012,El Paso,MJPossession,2
2012,El Paso,MJPossession,2
2012,El Paso,MJPossession,4
2012,El Paso,MJPossession,1
2012,El Paso,MJPossession,1
2012,El Paso,MJSales,1
2012,Fremont,MJPossession,2
2012,Fremont,MJPossession,1
2012,Fremont,MJPossession,6
2012,Fremont,MJUnknown,5
2012,Archuleta,MJPossession,3
2012,Baca,MJPossession,13
2012,Boulder,MJPossession,69
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,47
2012,Boulder,MJPossession,7
2012,Boulder,MJUnknown,3
2012,Boulder,MJUnknown,3
2012,Boulder,MJUnknown,4
2012,Boulder,MJUnknown,2
2012,Boulder,MJPossession,72
2012,Boulder,MJUnknown,1
2012,Boulder,MJPossession,2
2012,Boulder,MJPossession,7
2012,Boulder,MJPossession,1
2012,Boulder,MJPossession,19
2012,Boulder,MJPossession,2
2012,Boulder,MJProduction,1
2012,Boulder,MJSales,2
2012,Broomfield,MJPossession,3
2012,Broomfield,MJPossession,5
2012,Broomfield,MJPossession,1
2012,Broomfield,MJPossession,125
2012,Broomfield,MJPossession,1
2012,Broomfield,MJSales,3
2012,Broomfield,MJUnknown,1
2012,Chaffee,MJPossession,11
2012,Chaffee,MJPossession,2
2012,Chaffee,MJPossession,5
2012,Cheyenne,MJPossession,1
2012,Clear Creek,MJPossession,3
2012,Clear Creek,MJPossession,3
2012,Clear Creek,MJPossession,2
2012,Clear Creek,MJProduction,1
2012,Conejos,MJPossession,1
2012,Delta,MJPossession,1
2012,Delta,MJPossession,1
2012,Delta,MJPossession,1
2012,Delta,MJPossession,4
2012,Delta,MJPossession,1
2012,Denver,MJPossession,6
2012,Denver,MJPossession,2
2012,Denver,MJPossession,2
2012,Denver,MJProduction,1
2012,Garfield,MJPossession,1
2012,Garfield,MJUnknown,2
2012,Garfield,MJPossession,1
2012,Garfield,MJPossession,1
2012,Garfield,MJUnknown,4
2012,Garfield,MJUnknown,1
2012,Garfield,MJUnknown,2
2012,Garfield,MJPossession,3
2012,Garfield,MJPossession,1
2012,Garfield,MJPossession,1
2012,Gilpin,MJPossession,14
2012,Gilpin,MJUnknown,2
2012,Grand,MJPossession,6
2012,Grand,MJPossession,2
