Year,County,Offense Type,Number of Arrests
2012,Adams,MJPossession,2079
2012,Adams,MJProduction,39
2012,Adams,MJSales,42
2012,Adams,MJUnknown,147
2012,Alamosa,MJPossession,2
2012,Arapahoe,MJPossession,1374
2012,Arapahoe,MJProduction,65
2012,Arapahoe,MJSales,24
2012,Arapahoe,MJUnknown,6
2012,Archuleta,MJPossession,17
2012,Baca,MJPossession,15
2012,Baca,MJSales,2
2012,Basalt PD,MJPossession,7
2012,Boulder,MJPossession,668
2012,Boulder,MJProduction,1
2012,Boulder,MJSales,8
2012,Boulder,MJUnknown,39
2012,Broomfield,MJPossession,290
2012,Broomfield,MJSales,7
2012,Broomfield,MJUnknown,2
2012,Chaffee,MJPossession,45
2012,Chaffee,MJSales,2
2012,Cheyenne,MJPossession,2
2012,Clear Creek,MJPossession,40
2012,Clear Creek,MJProduction,1
2012,Clear Creek,MJSales,1
2012,Clear Creek,MJUnknown,2
2012,Conejos,MJPossession,2
2012,Custer,MJPossession,1
2012,Delta,MJPossession,15
2012,Denver,MJPossession,58
2012,Denver,MJProduction,15
2012,Denver,MJSales,93
2012,Denver,MJUnknown,2
2012,Douglas,MJPossession,524
2012,Douglas,MJSales,4
2012,Douglas,MJUnknown,5
2012,Eagle,MJPossession,236
2012,Eagle,MJProduction,2
2012,Eagle,MJSales,7
2012,Eagle,MJUnknown,31
2012,El Paso,MJPossession,673
2012,El Paso,MJProduction,20
2012,El Paso,MJSales,32
2012,El Paso,MJSmuggle,4
2012,El Paso,MJUnknown,132
2012,Elbert,MJPossession,17
2012,Fremont,MJPossession,31
2012,Fremont,MJSales,1
2012,Fremont,MJUnknown,8
2012,Garfield,MJPossession,154
2012,Garfield,MJSales,1
2012,Garfield,MJUnknown,11
2012,Gilpin,MJPossession,95
2012,Gilpin,MJProduction,2
2012,Gilpin,MJSmuggle,1
2012,Grand,MJPossession,13
2012,Grand,MJSales,1
2012,Gunnison,MJPossession,37
2012,Huerfano,MJPossession,13
2012,Jefferson,MJPossession,1329
2012,Jefferson,MJProduction,6
2012,Jefferson,MJSales,9
2012,Jefferson,MJUnknown,173
2012,Kiowa,MJPossession,1
2012,Kit Carson,MJPossession,18
2012,Kit Carson,MJSales,1
2012,La Plata,MJPossession,54
2012,La Plata,MJUnknown,1
2012,Lake,MJPossession,23
2012,Lake,MJProduction,3
2012,Lake,MJSales,1
2012,Larimer,MJPossession,521
2012,Larimer,MJProduction,5
2012,Larimer,MJSales,10
2012,Larimer,MJUnknown,360
2012,Las Animas,MJPossession,7
2012,Lincoln,MJPossession,1
2012,Location not Available,MJPossession,1140
2012,Location not Available,MJProduction,2
2012,Location not Available,MJSales,22
2012,Location not Available,MJSmuggle,1
2012,Location not Available,MJUnknown,111
2012,Logan,MJPossession,39
2012,Logan,MJSales,1
2012,Logan,MJUnknown,1
2012,Mesa,MJPossession,577
2012,Mesa,MJProduction,3
2012,Mesa,MJSales,14
2012,Mesa,MJUnknown,46
2012,Moffat,MJPossession,95
2012,Moffat,MJProduction,4
2012,Moffat,MJSales,3
2012,Moffat,MJUnknown,2
2012,Montezuma,MJPossession,60
2012,Montezuma,MJUnknown,14
2012,Montrose,MJPossession,131
2012,Montrose,MJProduction,1
2012,Montrose,MJSales,1
2012,Morgan,MJPossession,50
2012,Morgan,MJSales,1
2012,Otero,MJPossession,15
2012,Otero,MJProduction,1
2012,Otero,MJUnknown,6
2012,Park,MJPossession,7
2012,Park,MJProduction,1
2012,Park,MJSales,1
2012,Park,MJUnknown,1
2012,Phillips,MJPossession,2
2012,Pitkin,MJPossession,7
2012,Prowers,MJPossession,90
2012,Pueblo,MJPossession,11
2012,Pueblo,MJUnknown,12
2012,Rio Blanco,MJPossession,26
2012,Rio Grande,MJPossession,27
2012,Rio Grande,MJUnknown,1
2012,Routt,MJPossession,88
2012,Routt,MJSales,1
2012,Routt,MJUnknown,3
2012,Saguache,MJPossession,11
2012,Sedgwick,MJPossession,1
2012,Summit,MJPossession,63
2012,Teller,MJPossession,52
2012,Teller,MJProduction,1
2012,Teller,MJUnknown,3
2012,Washington,MJPossession,20
2012,Weld,MJPossession,485
2012,Weld,MJProduction,7
2012,Weld,MJSales,11
2012,Weld,MJUnknown,1
2012,Yuma,MJPossession,2
2013,Adams,MJPossession,867
2013,Adams,MJProduction,15
2013,Adams,MJSales,19
2013,Adams,MJUnknown,91
2013,Alamosa,MJPossession,6
2013,Arapahoe,MJPossession,609
2013,Arapahoe,MJProduction,67
2013,Arapahoe,MJSales,17
2013,Arapahoe,MJUnknown,9
2013,Archuleta,MJPossession,3
2013,Baca,MJPossession,7
2013,Basalt PD,MJPossession,4
2013,Bent,MJPossession,1
2013,Boulder,MJPossession,379
2013,Boulder,MJProduction,1
2013,Boulder,MJSales,1
2013,Boulder,MJUnknown,53
2013,Broomfield,MJPossession,123
2013,Broomfield,MJSales,8
2013,Broomfield,MJUnknown,2
2013,Chaffee,MJPossession,14
2013,Cheyenne,MJPossession,1
2013,Clear Creek,MJPossession,7
2013,Custer,MJPossession,1
2013,Delta,MJPossession,12
2013,Delta,MJUnknown,3
2013,Denver,MJPossession,371
2013,Denver,MJProduction,6
2013,Denver,MJSales,71
2013,Denver,MJUnknown,3
