Year,County,Offense Type,Number of Arrests,Number of Offenses
2012,Adams,Possession,2079,1804
2012,Adams,Production,39,50
2012,Adams,Sales,42,41
2012,Adams,Smuggle,0,2
2012,Adams,Unknown,147,124
2012,Alamosa,Possession,2,2
2012,Arapahoe,Possession,1374,1654
2012,Arapahoe,Production,65,70
2012,Arapahoe,Sales,24,34
2012,Arapahoe,Smuggle,0,1
2012,Arapahoe,Unknown,6,14
2012,Archuleta,Possession,17,11
2012,Archuleta,Production,0,1
2012,Baca,Possession,15,16
2012,Baca,Sales,2,0
2012,Basalt PD,Possession,7,0
2012,Bent,Possession,0,1
2012,Boulder,Possession,668,852
2012,Boulder,Production,1,4
2012,Boulder,Sales,8,11
2012,Boulder,Unknown,39,51
2012,Broomfield,Possession,290,202
2012,Broomfield,Production,0,1
2012,Broomfield,Sales,7,7
2012,Broomfield,Unknown,2,2
2012,Chaffee,Possession,45,39
2012,Chaffee,Production,0,1
2012,Chaffee,Sales,2,1
2012,Cheyenne,Possession,2,3
2012,Cheyenne,Production,0,1
2012,Clear Creek,Possession,40,42
2012,Clear Creek,Production,1,1
2012,Clear Creek,Sales,1,1
2012,Clear Creek,Unknown,2,2
2012,Conejos,Possession,2,3
2012,Custer,Possession,1,1
2012,Custer,Production,0,2
2012,Custer,Unknown,0,1
2012,Delta,Possession,15,18
2012,Delta,Sales,0,1
2012,Denver,Possession,58,62
2012,Denver,Production,15,18
2012,Denver,Sales,93,88
2012,Denver,Unknown,2,20
2012,Douglas,Possession,524,467
2012,Douglas,Production,0,2
2012,Douglas,Sales,4,2
2012,Douglas,Unknown,5,12
2012,Eagle,Possession,236,198
2012,Eagle,Production,2,3
2012,Eagle,Sales,7,2
2012,Eagle,Unknown,31,20
2012,El Paso,Possession,673,634
2012,El Paso,Production,20,52
2012,El Paso,Sales,32,44
2012,El Paso,Smuggle,4,2
2012,El Paso,Unknown,132,122
2012,Elbert,Possession,17,15
2012,Elbert,Production,0,1
2012,Fremont,Possession,31,57
2012,Fremont,Production,0,1
2012,Fremont,Sales,1,2
2012,Fremont,Unknown,8,21
2012,Garfield,Possession,154,142
2012,Garfield,Sales,1,1
2012,Garfield,Unknown,11,11
2012,Gilpin,Possession,95,79
2012,Gilpin,Production,2,2
2012,Gilpin,Smuggle,1,1
2012,Gilpin,Unknown,0,2
2012,Grand,Possession,13,10
2012,Grand,Sales,1,2
2012,Gunnison,Possession,37,37
2012,Gunnison,Production,0,1
2012,Hinsdale,Possession,0,1
2012,Huerfano,Possession,13,12
2012,Huerfano,Production,0,1
2012,Jackson,Possession,0,1
2012,Jefferson,Possession,1329,1164
2012,Jefferson,Production,6,8
2012,Jefferson,Sales,9,3
2012,Jefferson,Unknown,173,84
2012,Kiowa,Possession,1,1
2012,Kit Carson,Possession,18,16
2012,Kit Carson,Sales,1,1
2012,La Plata,Possession,54,62
2012,La Plata,Sales,0,1
2012,La Plata,Unknown,1,0
2012,Lake,Possession,23,19
2012,Lake,Production,3,3
2012,Lake,Sales,1,0
2012,Larimer,Possession,521,634
2012,Larimer,Production,5,9
2012,Larimer,Sales,10,13
2012,Larimer,Unknown,360,461
2012,Las Animas,Possession,7,4
2012,Lincoln,Possession,1,1
2012,Location not Available,Possession,1140,1124
2012,Location not Available,Production,2,2
2012,Location not Available,Sales,22,15
2012,Location not Available,Smuggle,1,1
2012,Location not Available,Unknown,111,122
2012,Logan,Possession,39,27
2012,Logan,Sales,1,0
2012,Logan,Unknown,1,1
2012,Mesa,Possession,577,430
2012,Mesa,Production,3,7
2012,Mesa,Sales,14,12
2012,Mesa,Unknown,46,34
2012,Moffat,Possession,95,69
2012,Moffat,Production,4,1
2012,Moffat,Sales,3,2
2012,Moffat,Unknown,2,2
2012,Montezuma,Possession,60,54
2012,Montezuma,Unknown,14,12
2012,Montrose,Possession,131,122
2012,Montrose,Production,1,1
2012,Montrose,Sales,1,3
2012,Montrose,Unknown,0,1
2012,Morgan,Possession,50,52
2012,Morgan,Sales,1,3
2012,Morgan,Unknown,0,3
2012,Otero,Possession,15,13
2012,Otero,Production,1,1
2012,Otero,Unknown,6,0
2012,Ouray,Possession,0,1
2012,Park,Possession,7,10
2012,Park,Production,1,0
2012,Park,Sales,1,1
2012,Park,Unknown,1,0
2012,Phillips,Possession,2,2
2012,Phillips,Sales,0,1
2012,Pitkin,Possession,7,24
2012,Prowers,Possession,90,70
2012,Pueblo,Possession,11,15
2012,Pueblo,Production,0,2
2012,Pueblo,Sales,0,2
2012,Pueblo,Unknown,12,38
2012,Rio Blanco,Possession,26,18
2012,Rio Grande,Possession,27,26
2012,Rio Grande,Unknown,1,1
2012,Routt,Possession,88,73
2012,Routt,Sales,1,1
2012,Routt,Unknown,3,3
2012,Saguache,Possession,11,8
2012,Saguache,Unknown,0,1
2012,San Juan,Possession,0,1
2012,San Miguel,Possession,0,7
2012,Sedgwick,Possession,1,1
2012,Summit,Possession,63,79
2012,Summit,Sales,0,1
2012,Summit,Unknown,0,1
2012,Teller,Possession,52,46
2012,Teller,Production,1,0
2012,Teller,Unknown,3,2
2012,Washington,Possession,20,17
2012,Washington,Unknown,0,2
2012,Weld,Possession,485,493
2012,Weld,Production,7,11
2012,Weld,Sales,11,14
2012,Weld,Smuggle,0,2
2012,Weld,Unknown,1,3
2012,Yuma,Possession,2,2
2012,Yuma,Production,0,1
2013,Adams,Possession,867,720
2013,Adams,Production,15,12
2013,Adams,Sales,19,28
2013,Adams,Unknown,91,59
2013,Alamosa,Possession,6,4
2013,Arapahoe,Possession,609,667
2013,Arapahoe,Production,67,68
2013,Arapahoe,Sales,17,36
2013,Arapahoe,Smuggle,0,3
2013,Arapahoe,Unknown,9,14
2013,Archuleta,Possession,3,5
2013,Baca,Possession,7,3
2013,Basalt PD,Possession,4,0
2013,Bent,Possession,1,1
2013,Boulder,Possession,379,416
2013,Boulder,Production,1,1
2013,Boulder,Sales,1,6
2013,Boulder,Unknown,53,54
2013,Broomfield,Possession,123,90
2013,Broomfield,Production,0,1
2013,Broomfield,Sales,8,6
2013,Broomfield,Unknown,2,2
2013,Chaffee,Possession,14,11
2013,Cheyenne,Possession,1,1
2013,Clear Creek,Possession,7,6
2013,Custer,Possession,1,1
2013,Custer,Unknown,0,1
2013,Delta,Possession,12,12
