Year,County,Offense Type,Number of Offenses
2012,Adams,MJPossession,1804
2012,Adams,MJProduction,50
2012,Adams,MJSales,41
2012,Adams,MJSmuggle,2
2012,Adams,MJUnknown,124
2012,Alamosa,MJPossession,2
2012,Arapahoe,MJPossession,1654
2012,Arapahoe,MJProduction,70
2012,Arapahoe,MJSales,34
2012,Arapahoe,MJSmuggle,1
2012,Arapahoe,MJUnknown,14
2012,Archuleta,MJPossession,11
2012,Archuleta,MJProduction,1
2012,Baca,MJPossession,16
2012,Bent,MJPossession,1
2012,Boulder,MJPossession,852
2012,Boulder,MJProduction,4
2012,Boulder,MJSales,11
2012,Boulder,MJUnknown,51
2012,Broomfield,MJPossession,202
2012,Broomfield,MJProduction,1
2012,Broomfield,MJSales,7
2012,Broomfield,MJUnknown,2
2012,Chaffee,MJPossession,39
2012,Chaffee,MJProduction,1
2012,Chaffee,MJSales,1
2012,Cheyenne,MJPossession,3
2012,Cheyenne,MJProduction,1
2012,Clear Creek,MJPossession,42
2012,Clear Creek,MJProduction,1
2012,Clear Creek,MJSales,1
2012,Clear Creek,MJUnknown,2
2012,Conejos,MJPossession,3
2012,Custer,MJPossession,1
2012,Custer,MJProduction,2
2012,Custer,MJUnknown,1
2012,Delta,MJPossession,18
2012,Delta,MJSales,1
2012,Denver,MJPossession,62
2012,Denver,MJProduction,18
2012,Denver,MJSales,88
2012,Denver,MJUnknown,20
2012,Douglas,MJPossession,467
2012,Douglas,MJProduction,2
2012,Douglas,MJSales,2
2012,Douglas,MJUnknown,12
2012,Eagle,MJPossession,198
2012,Eagle,MJProduction,3
2012,Eagle,MJSales,2
2012,Eagle,MJUnknown,20
2012,El Paso,MJPossession,634
2012,El Paso,MJProduction,52
2012,El Paso,MJSales,44
2012,El Paso,MJSmuggle,2
2012,El Paso,MJUnknown,122
2012,Elbert,MJPossession,15
2012,Elbert,MJProduction,1
2012,Fremont,MJPossession,57
2012,Fremont,MJProduction,1
2012,Fremont,MJSales,2
2012,Fremont,MJUnknown,21
2012,Garfield,MJPossession,142
2012,Garfield,MJSales,1
2012,Garfield,MJUnknown,11
2012,Gilpin,MJPossession,79
2012,Gilpin,MJProduction,2
2012,Gilpin,MJSmuggle,1
2012,Gilpin,MJUnknown,2
2012,Grand,MJPossession,10
2012,Grand,MJSales,2
2012,Gunnison,MJPossession,37
2012,Gunnison,MJProduction,1
2012,Hinsdale,MJPossession,1
2012,Huerfano,MJPossession,12
2012,Huerfano,MJProduction,1
2012,Jackson,MJPossession,1
2012,Jefferson,MJPossession,1164
2012,Jefferson,MJProduction,8
2012,Jefferson,MJSales,3
2012,Jefferson,MJUnknown,84
2012,Kiowa,MJPossession,1
2012,Kit Carson,MJPossession,16
2012,Kit Carson,MJSales,1
2012,La Plata,MJPossession,62
2012,La Plata,MJSales,1
2012,Lake,MJPossession,19
2012,Lake,MJProduction,3
2012,Larimer,MJPossession,634
2012,Larimer,MJProduction,9
2012,Larimer,MJSales,13
2012,Larimer,MJUnknown,461
2012,Las Animas,MJPossession,4
2012,Lincoln,MJPossession,1
2012,Location not Available,MJPossession,1124
2012,Location not Available,MJProduction,2
2012,Location not Available,MJSales,15
2012,Location not Available,MJSmuggle,1
2012,Location not Available,MJUnknown,122
2012,Logan,MJPossession,27
2012,Logan,MJUnknown,1
2012,Mesa,MJPossession,430
2012,Mesa,MJProduction,7
2012,Mesa,MJSales,12
2012,Mesa,MJUnknown,34
2012,Moffat,MJPossession,69
2012,Moffat,MJProduction,1
2012,Moffat,MJSales,2
2012,Moffat,MJUnknown,2
2012,Montezuma,MJPossession,54
2012,Montezuma,MJUnknown,12
2012,Montrose,MJPossession,122
2012,Montrose,MJProduction,1
2012,Montrose,MJSales,3
2012,Montrose,MJUnknown,1
2012,Morgan,MJPossession,52
2012,Morgan,MJSales,3
2012,Morgan,MJUnknown,3
2012,Otero,MJPossession,13
2012,Otero,MJProduction,1
2012,Ouray,MJPossession,1
2012,Park,MJPossession,10
2012,Park,MJSales,1
2012,Phillips,MJPossession,2
2012,Phillips,MJSales,1
2012,Pitkin,MJPossession,24
2012,Prowers,MJPossession,70
2012,Pueblo,MJPossession,15
2012,Pueblo,MJProduction,2
2012,Pueblo,MJSales,2
2012,Pueblo,MJUnknown,38
2012,Rio Blanco,MJPossession,18
2012,Rio Grande,MJPossession,26
2012,Rio Grande,MJUnknown,1
2012,Routt,MJPossession,73
2012,Routt,MJSales,1
