"Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)" 1 2
"Annual"
"Table: 36-10-0434-06 (formerly CANSIM 379-0031)"
"Geography: Canada"

"Seasonal adjustment","Prices","Geography","North American Industry Classification System (NAICS)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Seasonally adjusted at annual rates","Chained (2012) dollars 3","Canada","","Dollars",,,,,,,,,,,,,,,,,,,,,,,
,,,"All industries  [T001] 4","1,172,439","1,216,523","1,279,455","1,347,438","1,369,326","1,413,966","1,440,834","1,488,326","1,535,314","1,578,545","1,609,906","1,621,862","1,569,644","1,624,730","1,678,329","1,710,432","1,753,922","1,804,500","1,819,352","1,838,742","1,897,640","1,939,593","1,971,075",""
,,,"Goods-producing industries  [T002] 4","402,692","415,223","441,180","468,313","462,631","472,983","479,006","495,529","508,640","512,180","511,087","504,132","454,322","482,992","504,796","514,624","531,996","551,314","547,349","541,116","564,364","577,802","574,658",""
,,,"Service-producing industries  [T003] 4","769,116","800,352","837,762","878,840","905,789","939,746","960,366","991,306","1,025,091","1,064,723","1,097,235","1,116,629","1,115,062","1,141,773","1,173,530","1,195,808","1,221,949","1,253,250","1,271,585","1,295,803","1,332,155","1,360,769","1,393,764",""
,,,"Business sector industries  [T004]","","","","","","","","","","","1,326,277","1,328,247","1,267,625","1,316,443","1,365,664","1,395,048","1,437,123","1,484,975","1,497,119","1,512,281","1,566,249","1,598,989","1,622,500",""
,,,"Non-business sector industries  [T007]","","","","","","","","","","","282,590","293,082","302,194","308,416","312,688","315,384","316,877","319,758","322,465","326,640","331,985","341,074","348,866",""
,,,"Industrial production  [T010] 4","302,410","312,696","332,795","355,526","345,957","353,632","354,671","363,805","372,321","372,688","367,975","356,801","316,483","335,551","351,715","351,712","357,993","376,114","374,054","374,335","391,197","403,486","400,384",""
,,,"Non-durable manufacturing industries  [T011] 4","82,859","84,839","86,835","94,553","96,513","98,807","98,091","97,462","97,245","94,597","91,297","88,331","81,405","83,075","82,739","82,317","81,924","84,245","86,747","87,530","90,532","92,609","92,540",""
,,,"Durable manufacturing industries  [T012] 4","88,863","95,013","106,097","115,808","107,409","108,981","107,163","112,114","116,097","115,120","112,032","104,399","85,344","91,535","97,748","100,773","100,566","103,667","102,259","101,481","105,440","108,288","108,651",""
,,,"Information and communication technology sector  [T013] 4","","","","","","","","","","","68,285","69,538","68,177","70,765","73,435","73,619","73,020","76,459","78,809","81,821","85,684","89,839","93,718",""
,,,"Energy sector  [T016] 4","130,468","128,902","132,056","133,564","133,970","137,556","141,342","144,117","148,415","151,555","150,430","147,980","140,212","145,592","152,081","150,667","155,662","167,536","164,544","164,006","175,107","180,802","177,948",""
,,,"Industrial production (1950 definition)  [T017] 4","","","","","","","","","","","364,224","352,783","312,271","331,127","346,898","346,569","352,586","370,264","368,357","368,212","385,144","397,170","393,766",""
,,,"Public Sector  [T018] 4","","","","","","","","","","","303,660","313,882","323,878","330,617","335,618","338,300","339,374","341,933","345,677","351,387","357,509","367,948","377,656",""
,,,"Content and media sector  [T019] 4","","","","","","","","","","","14,710","14,775","14,685","14,113","13,854","13,707","14,046","14,643","13,799","14,081","14,043","13,673","13,757",""
,,,"All industries (except cannabis sector)  [T020] 4","1,170,660","1,214,464","1,277,347","1,345,335","1,366,587","1,411,060","1,437,772","1,485,275","1,532,143","1,575,067","1,606,278","1,618,164","1,565,704","1,620,670","1,674,110","1,706,036","1,749,145","1,799,424","1,813,963","1,833,278","1,892,190","1,933,509","1,963,745",""
,,,"Cannabis sector  [T021] 4","2,171","2,362","2,455","2,525","2,894","3,030","3,146","3,183","3,299","3,537","3,671","3,735","3,937","4,064","4,216","4,398","4,782","5,102","5,448","5,532","5,468","6,240","7,791",""
,,,"All industries (except unlicensed cannabis sector)  [T024] 4","1,170,656","1,214,465","1,277,346","1,345,333","1,366,582","1,411,061","1,437,773","1,485,276","1,532,143","1,575,069","1,606,280","1,618,164","1,565,707","1,620,668","1,674,114","1,706,036","1,749,146","1,799,430","1,813,995","1,833,362","1,892,324","1,934,160","1,966,398",""
,,,"Agriculture, forestry, fishing and hunting  [11]","24,244","25,436","27,575","28,119","28,162","27,223","29,796","32,461","32,711","32,357","30,450","32,644","30,985","31,389","32,672","33,097","38,753","36,170","37,745","39,298","39,787","40,182","41,026",""
,,,"Crop and animal production  [11A] 4","16,238","17,456","19,497","19,676","19,642","18,423","21,209","23,622","23,858","23,743","22,384","25,161","24,537","24,169","25,023","25,568","30,918","28,099","29,732","31,751","32,265","32,789","34,008",""
,,,"Crop production  [111]","12,726","13,977","15,673","15,227","14,336","13,652","16,388","18,062","18,627","18,928","17,328","20,301","19,383","18,860","20,001","20,591","26,134","23,125","24,615","26,664","26,966","27,391","28,534",""
,,,"Crop production (except cannabis)  [111X]","12,188","13,367","15,376","14,668","12,581","11,521","14,493","16,432","16,892","16,742","14,697","17,830","16,660","15,994","17,047","17,521","22,771","19,376","20,580","22,520","22,840","22,587","22,100",""
,,,"Cannabis production  [111C]","1,414","1,561","1,616","1,654","1,978","2,088","2,183","2,201","2,291","2,496","2,589","2,622","2,775","2,854","2,955","3,070","3,383","3,634","3,906","3,988","3,961","4,700","6,471",""
,,,"Cannabis production (licensed)  [111CL]","","","","","","0","0","0","0","0","0","2","1","2","2","3","5","20","41","115","178","805","3,202",""
,,,"Cannabis production (unlicensed)  [111CU]","1,414","1,561","1,616","1,654","1,978","2,088","2,183","2,201","2,291","2,496","2,589","2,621","2,774","2,852","2,953","3,067","3,378","3,616","3,871","3,884","3,791","3,876","3,138",""
,,,"Animal production  [112]","3,747","3,758","4,172","4,507","4,905","4,457","4,595","5,228","5,090","4,873","4,895","4,730","5,113","5,270","5,014","4,978","4,868","4,834","5,038","5,137","5,315","5,413","5,521",""
,,,"Forestry and logging  [113]","4,294","4,296","4,439","4,670","4,668","4,858","4,698","4,953","5,002","4,805","4,357","4,066","3,187","3,661","4,016","3,937","4,057","4,191","4,262","4,040","3,944","4,011","3,622",""
,,,"Fishing, hunting and trapping  [114]","1,274","1,197","1,175","1,202","1,296","1,347","1,365","1,379","1,311","1,318","1,191","1,239","1,205","1,277","1,248","1,269","1,295","1,346","1,271","1,162","1,174","1,106","1,112",""
,,,"Support activities for agriculture and forestry  [115]","2,005","2,166","2,259","2,305","2,272","2,269","2,276","2,269","2,306","2,297","2,351","2,193","2,276","2,314","2,385","2,323","2,470","2,469","2,497","2,515","2,587","2,546","2,626",""
