"Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)" 1 2
"Annual"
"Table: 36-10-0434-06 (formerly CANSIM 379-0031)"
"Geography: Canada"

"Seasonal adjustment","Prices","Geography","North American Industry Classification System (NAICS)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Seasonally adjusted at annual rates","Chained (2012) dollars 3","Canada","","Dollars",,,,,,,,,,,,,,,,,,,,,,,
,,,"Goods-producing industries  [T002] 4","402,692","415,223","441,180","468,313","462,631","472,983","479,006","495,529","508,640","512,180","511,087","504,132","454,322","482,992","504,796","514,624","531,996","551,314","547,349","541,116","564,364","577,802","574,658",""
,,,"Service-producing industries  [T003] 4","769,116","800,352","837,762","878,840","905,789","939,746","960,366","991,306","1,025,091","1,064,723","1,097,235","1,116,629","1,115,062","1,141,773","1,173,530","1,195,808","1,221,949","1,253,250","1,271,585","1,295,803","1,332,155","1,360,769","1,393,764",""
,,,"Business sector industries  [T004]","","","","","","","","","","","1,326,277","1,328,247","1,267,625","1,316,443","1,365,664","1,395,048","1,437,123","1,484,975","1,497,119","1,512,281","1,566,249","1,598,989","1,622,500",""
,,,"Non-business sector industries  [T007]","","","","","","","","","","","282,590","293,082","302,194","308,416","312,688","315,384","316,877","319,758","322,465","326,640","331,985","341,074","348,866",""
,,,"Industrial production  [T010] 4","302,410","312,696","332,795","355,526","345,957","353,632","354,671","363,805","372,321","372,688","367,975","356,801","316,483","335,551","351,715","351,712","357,993","376,114","374,054","374,335","391,197","403,486","400,384",""
,,,"Non-durable manufacturing industries  [T011] 4","82,859","84,839","86,835","94,553","96,513","98,807","98,091","97,462","97,245","94,597","91,297","88,331","81,405","83,075","82,739","82,317","81,924","84,245","86,747","87,530","90,532","92,609","92,540",""
,,,"Durable manufacturing industries  [T012] 4","88,863","95,013","106,097","115,808","107,409","108,981","107,163","112,114","116,097","115,120","112,032","104,399","85,344","91,535","97,748","100,773","100,566","103,667","102,259","101,481","105,440","108,288","108,651",""
,,,"Information and communication technology sector  [T013] 4","","","","","","","","","","","68,285","69,538","68,177","70,765","73,435","73,619","73,020","76,459","78,809","81,821","85,684","89,839","93,718",""
,,,"Energy sector  [T016] 4","130,468","128,902","132,056","133,564","133,970","137,556","141,342","144,117","148,415","151,555","150,430","147,980","140,212","145,592","152,081","150,667","155,662","167,536","164,544","164,006","175,107","180,802","177,948",""
,,,"Industrial production (1950 definition)  [T017] 4","","","","","","","","","","","364,224","352,783","312,271","331,127","346,898","346,569","352,586","370,264","368,357","368,212","385,144","397,170","393,766",""
,,,"Public Sector  [T018] 4","","","","","","","","","","","303,660","313,882","323,878","330,617","335,618","338,300","339,374","341,933","345,677","351,387","357,509","367,948","377,656",""
,,,"Content and media sector  [T019] 4","","","","","","","","","","","14,710","14,775","14,685","14,113","13,854","13,707","14,046","14,643","13,799","14,081","14,043","13,673","13,757",""
,,,"All industries (except cannabis sector)  [T020] 4","1,170,660","1,214,464","1,277,347","1,345,335","1,366,587","1,411,060","1,437,772","1,485,275","1,532,143","1,575,067","1,606,278","1,618,164","1,565,704","1,620,670","1,674,110","1,706,036","1,749,145","1,799,424","1,813,963","1,833,278","1,892,190","1,933,509","1,963,745",""
,,,"Cannabis sector  [T021] 4","2,171","2,362","2,455","2,525","2,894","3,030","3,146","3,183","3,299","3,537","3,671","3,735","3,937","4,064","4,216","4,398","4,782","5,102","5,448","5,532","5,468","6,240","7,791",""
,,,"All industries (except unlicensed cannabis sector)  [T024] 4","1,170,656","1,214,465","1,277,346","1,345,333","1,366,582","1,411,061","1,437,773","1,485,276","1,532,143","1,575,069","1,606,280","1,618,164","1,565,707","1,620,668","1,674,114","1,706,036","1,749,146","1,799,430","1,813,995","1,833,362","1,892,324","1,934,160","1,966,398",""
,,,"Agriculture, forestry, fishing and hunting  [11]","24,244","25,436","27,575","28,119","28,162","27,223","29,796","32,461","32,711","32,357","30,450","32,644","30,985","31,389","32,672","33,097","38,753","36,170","37,745","39,298","39,787","40,182","41,026",""
,,,"Mining, quarrying, and oil and gas extraction  [21]","103,724","102,944","106,256","108,450","108,195","109,268","114,238","118,144","120,655","124,367","123,492","120,897","108,195","118,700","126,955","124,526","131,038","141,701","137,783","136,007","147,352","155,016","147,879",""
,,,"Utilities  [22]","32,829","32,499","32,701","32,798","31,982","33,885","34,238","34,416","36,029","35,689","37,794","39,417","37,524","38,060","39,342","38,953","38,997","40,343","40,538","41,427","42,385","43,285","43,943",""
,,,"Construction  [23]","74,212","74,973","78,293","81,868","87,298","92,049","94,750","100,069","104,978","109,246","115,395","118,474","111,197","120,344","125,049","134,959","140,830","144,554","141,176","134,398","140,337","141,851","141,139",""
,,,"Manufacturing  [31-33]","170,644","179,257","193,568","211,108","203,412","207,146","204,488","209,457","213,663","210,216","203,881","192,987","166,375","174,409","180,460","183,090","182,490","187,914","188,979","188,962","195,927","200,856","201,157",""
,,,"Wholesale trade  [41]","50,738","54,639","57,875","61,788","63,064","65,455","68,388","70,811","75,355","79,063","82,652","81,913","76,333","82,073","88,224","91,307","95,163","97,598","94,411","94,253","98,959","99,758","101,320",""
,,,"Retail trade  [44-45]","50,748","54,220","56,325","60,035","62,968","66,934","69,068","71,400","73,890","78,365","81,372","84,024","81,974","84,347","85,126","85,541","90,309","91,276","91,158","94,633","100,170","101,458","102,250",""
,,,"Transportation and warehousing  [48-49]","52,865","53,728","56,236","59,136","60,204","60,192","60,364","62,232","65,789","67,386","68,186","67,827","65,361","67,861","70,485","71,428","72,706","77,060","79,095","80,983","85,115","87,794","89,090",""
,,,"Information and cultural industries  [51]","30,520","32,698","36,045","39,126","41,926","45,393","46,189","49,055","50,822","52,811","52,645","53,044","52,370","53,480","54,218","54,677","54,378","56,130","57,290","59,473","61,258","62,506","63,970",""
,,,"Finance and insurance  [52]","66,488","68,405","71,825","75,175","78,667","80,308","81,510","85,785","88,939","96,135","99,995","98,536","97,555","99,679","103,061","104,909","108,753","111,814","117,263","121,385","125,092","127,443","131,352",""
