ArrestYear ,County ,Agency,AgeGroup ,Gender ,RaceCode ,NCICCODE ,NumberOfArrests
2012,Adams,Commerce City PD,21 or older,Female,Hispianic,MJPossession,6
2012,Adams,Commerce City PD,21 or older,Male,African American,MJPossession,5
2012,Adams,Commerce City PD,21 or older,Male,Asian,MJPossession,1
2012,Adams,Commerce City PD,21 or older,Male,Unknown,MJPossession,1
2012,Adams,Commerce City PD,21 or older,Male,White,MJPossession,33
2012,Adams,Commerce City PD,Under 18,Male,African American,MJPossession,4
2012,Adams,Commerce City PD,Under 18,Male,Unknown,MJPossession,2
2012,Adams,Commerce City PD,21 or older,Male,Hispianic,MJSales,1
2012,Adams,Federal Heights PD,18 to 20,Female,White,MJPossession,3
2012,Adams,Federal Heights PD,21 or older,Male,Hispianic,MJPossession,17
2012,Adams,Federal Heights PD,21 or older,Male,Unknown,MJPossession,2
2012,Adams,Northglenn PD,18 to 20,Male,African American,MJPossession,3
2012,Adams,Northglenn PD,18 to 20,Male,Hispianic,MJPossession,8
2012,Adams,Northglenn PD,18 to 20,Male,White,MJPossession,30
2012,Adams,Northglenn PD,Under 18,Female,Hispianic,MJPossession,7
2012,Adams,Northglenn PD,Under 18,Male,Asian,MJPossession,1
2012,Adams,Northglenn PD,21 or older,Male,White,MJProduction,2
2012,Adams,Thornton PD,18 to 20,Female,Hispianic,MJPossession,5
2012,Adams,Thornton PD,18 to 20,Male,African American,MJPossession,3
2012,Adams,Thornton PD,18 to 20,Male,Hispianic,MJPossession,46
2012,Adams,Thornton PD,Under 18,Female,African American,MJPossession,2
2012,Adams,Thornton PD,Under 18,Female,White,MJPossession,10
2012,Adams,Thornton PD,Under 18,Male,African American,MJPossession,6
2012,Adams,Thornton PD,Under 18,Male,White,MJPossession,59
2012,Adams,Thornton PD,Under 18,Male,White,MJSales,1
2012,Adams,Westminster PD,21 or older,Female,African American,MJPossession,2
2012,Adams,Westminster PD,21 or older,Female,Hispianic,MJPossession,8
2012,Adams,Westminster PD,21 or older,Female,White,MJPossession,23
2012,Adams,Westminster PD,21 or older,Male,African American,MJPossession,10
2012,Adams,Westminster PD,21 or older,Male,Asian,MJPossession,2
2012,Adams,Westminster PD,21 or older,Male,Hispianic,MJPossession,39
2012,Adams,Westminster PD,21 or older,Male,Unknown,MJPossession,1
2012,Adams,Westminster PD,21 or older,Male,White,MJPossession,109
2012,Adams,Westminster PD,18 to 20,Female,Hispianic,MJUnknown,1
2012,Adams,Westminster PD,18 to 20,Female,White,MJUnknown,1
2012,Adams,Westminster PD,18 to 20,Male,African American,MJUnknown,1
2012,Adams,Westminster PD,18 to 20,Male,Hispianic,MJUnknown,4
2012,Adams,Westminster PD,18 to 20,Male,White,MJUnknown,2
2012,Adams,Westminster PD,Under 18,Male,Asian,MJUnknown,1
2012,Adams,Westminster PD,Under 18,Male,Native American,MJUnknown,1
2012,Alamosa,Alamosa County SO,21 or older,Female,Hispianic,MJPossession,1
2012,Arapahoe,Arapahoe Community College,21 or older,Male,White,MJPossession,1
2012,Arapahoe,Araphaoe County SO,21 or older,Female,African American,MJPossession,2
2012,Arapahoe,Araphaoe County SO,21 or older,Female,White,MJPossession,3
2012,Arapahoe,Araphaoe County SO,21 or older,Male,Asian,MJPossession,1
2012,Arapahoe,Araphaoe County SO,21 or older,Male,White,MJPossession,12
2012,Arapahoe,Araphaoe County SO,Under 18,Male,African American,MJPossession,7
2012,Arapahoe,Araphaoe County SO,Under 18,Male,Hispianic,MJPossession,2
2012,Arapahoe,Araphaoe County SO,Under 18,Male,Unknown,MJPossession,1
2012,Arapahoe,Aurora PD,21 or older,Female,African American,MJPossession,26
2012,Arapahoe,Aurora PD,21 or older,Female,Hispianic,MJPossession,9
2012,Arapahoe,Aurora PD,21 or older,Male,Hispianic,MJPossession,39
2012,#NULL,Colorado State Patrol,18 to 20,Male,African American,MJPossession,4
2012,#NULL,Colorado State Patrol,18 to 20,Male,Hispianic,MJPossession,26
2012,#NULL,Colorado State Patrol,18 to 20,Male,White,MJPossession,171
2012,#NULL,Colorado State Patrol,21 or older,Female,Hispianic,MJPossession,9
2012,#NULL,Colorado State Patrol,21 or older,Male,Native American,MJPossession,3
2012,#NULL,Colorado State Patrol,21 or older,Female,White,MJProduction,1
2012,#NULL,Colorado State Patrol,18 to 20,Female,Asian,MJSales,1
2012,#NULL,Colorado State Patrol,21 or older,Female,White,MJSales,2
2012,#NULL,Colorado State Patrol,21 or older,Male,Hispianic,MJSales,1
2012,#NULL,Colorado State Patrol,18 to 20,Female,Hispianic,MJUnknown,1
2012,#NULL,Colorado State Patrol,21 or older,Male,African American,MJUnknown,8
2012,#NULL,Colorado State Patrol,21 or older,Male,Hispianic,MJUnknown,8
2012,#NULL,Colorado State Patrol,21 or older,Male,White,MJUnknown,54
2012,#NULL,Colorado State Patrol,Under 18,Female,White,MJUnknown,1
2012,#NULL,Colorado State Patrol,Under 18,Male,Hispianic,MJUnknown,1
2012,Adams,Adams County SO,18 to 20,Male,Native American,MJPossession,2
2012,Adams,Adams County SO,21 or older,Male,African American,MJPossession,18
2012,Adams,Adams County SO,21 or older,Male,Asian,MJPossession,1
2012,Adams,Adams County SO,21 or older,Male,White,MJPossession,200
2012,Adams,Adams County SO,18 to 20,Female,Hispianic,MJSales,1
2012,Adams,Brighton PD,18 to 20,Female,Unknown,MJPossession,1
2012,Adams,Brighton PD,18 to 20,Female,White,MJPossession,3
