FIPS,County,Month,Year,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code,ID
8125,Yuma,12,2019,,,NL,NL,122019Yuma
8123,Weld,12,2019,314840,2448689,,,122019Weld
8121,Washington,12,2019,,,NL,NL,122019Washington
8119,Teller,12,2019,,,NL,NL,122019Teller
8117,Summit,12,2019,,2476854,NR,,122019Summit
,Sum of NR Counties,12,2019,27314662,116437714,,,122019Sum of NR Counties
8115,Sedgwick,12,2019,,,NR,NR,122019Sedgwick
8113,San Miguel,12,2019,,444533,NR,,122019San Miguel
8111,San Juan,12,2019,,13232,NL,,122019San Juan
8109,Saguache,12,2019,,246391,NL,,122019Saguache
8107,Routt,12,2019,153737,1112789,,,122019Routt
8105,Rio Grande,12,2019,,,NL,NL,122019Rio Grande
8103,Rio Blanco,12,2019,,,NL,NL,122019Rio Blanco
8101,Pueblo,12,2019,754498,6312066,,,122019Pueblo
8099,Prowers,12,2019,,,NL,NL,122019Prowers
8097,Pitkin,12,2019,,1305423,NR,,122019Pitkin
8095,Phillips,12,2019,,,NL,NL,122019Phillips
8093,Park,12,2019,,405939,NR,,122019Park
8091,Ouray,12,2019,,730178,NL,,122019Ouray
8089,Otero,12,2019,,,NR,NR,122019Otero
8087,Morgan,12,2019,,1452645,NR,,122019Morgan
8085,Montrose,12,2019,,,NR,NR,122019Montrose
8083,Montezuma,12,2019,,1793908,NR,,122019Montezuma
8081,Moffat,12,2019,,853209,NR,,122019Moffat
8079,Mineral,12,2019,,,NL,NL,122019Mineral
8077,Mesa,12,2019,,1896560,NR,,122019Mesa
8075,Logan,12,2019,,,NL,NL,122019Logan
8073,Lincoln,12,2019,,,NL,NL,122019Lincoln
8071,Las Animas,12,2019,27183,4024747,,,122019Las Animas
8069,Larimer,12,2019,805873,8164102,,,122019Larimer
8065,Lake,12,2019,,241905,NL,,122019Lake
8067,La Plata,12,2019,,2490195,NR,,122019La Plata
8063,Kit Carson,12,2019,,,NL,NL,122019Kit Carson
8061,Kiowa,12,2019,,,NL,NL,122019Kiowa
8059,Jefferson,12,2019,1443914,4707227,,,122019Jefferson
8057,Jackson,12,2019,,,NL,NL,122019Jackson
8055,Huerfano,12,2019,,170840,NL,,122019Huerfano
