fips,county,Month,Year,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code,ID
08001,Adams,8,2019,17037,,,,,,82019Adams
08003,Alamosa,8,2019,,,,,NR,,82019Alamosa
08005,Arapahoe,8,2019,24256,,,,,,82019Arapahoe
08013,Boulder,8,2019,33557,,,,,,82019Boulder
08015,Chaffee,8,2019,,,,,NR,,82019Chaffee
08019,Clear Creek,8,2019,,,,,NR,,82019Clear Creek
08031,Denver,8,2019,392226,,,,,,82019Denver
08037,Eagle,8,2019,2826,,,,,,82019Eagle
08041,El Paso,8,2019,270107,,,,,,82019El Paso
08043,Fremont,8,2019,5548,,,,,,82019Fremont
08045,Garfield,8,2019,3086,,,,,,82019Garfield
08049,Grand,8,2019,,,,,NR,,82019Grand
08059,Jefferson,8,2019,39411,,,,,,82019Jefferson
08067,La Plata,8,2019,,,,,NR,,82019La Plata
08069,Larimer,8,2019,22969,,,,,,82019Larimer
08071,Las Animas,8,2019,1901,,,,,,82019Las Animas
08077,Mesa,8,2019,,,,,NR,,82019Mesa
08081,Moffat,8,2019,,,,,NR,,82019Moffat
08083,Montezuma,8,2019,1102,,,,,,82019Montezuma
08085,Montrose,8,2019,,,,,NR,,82019Montrose
08087,Morgan,8,2019,,,,,NR,,82019Morgan
08089,Otero,8,2019,,,,,NR,,82019Otero
08093,Park,8,2019,,,,,NR,,82019Park
08097,Pitkin,8,2019,,,,,NR,,82019Pitkin
08101,Pueblo,8,2019,21459,,,,,,82019Pueblo
08107,Routt,8,2019,3878,,,,,,82019Routt
08113,San Miguel,8,2019,,,,,NR,,82019San Miguel
08115,Sedgwick,8,2019,,,,,NR,,82019Sedgwick
08117,Summit,8,2019,,,,,NR,,82019Summit
08123,Weld,8,2019,8858,,,,,,82019Weld
,Sum of NR Counties,8,2019,18015,,,,,,82019Sum of NR Counties
08001,Adams,7,2019,16539,,,,,,72019Adams
08003,Alamosa,7,2019,,,,,NR,,72019Alamosa
08005,Arapahoe,7,2019,23076,,,,,,72019Arapahoe
08013,Boulder,7,2019,29361,,,,,,72019Boulder
08015,Chaffee,7,2019,,,,,NR,,72019Chaffee
08019,Clear Creek,7,2019,,,,,NR,,72019Clear Creek
08031,Denver,7,2019,357367,,,,,,72019Denver
08037,Eagle,7,2019,2501,,,,,,72019Eagle
08041,El Paso,7,2019,291131,,,,,,72019El Paso
08043,Fremont,7,2019,,,,,NR,,72019Fremont
08045,Garfield,7,2019,3797,,,,,,72019Garfield
08049,Grand,7,2019,,,,,NR,,72019Grand
08059,Jefferson,7,2019,39008,,,,,,72019Jefferson
08067,La Plata,7,2019,,,,,NR,,72019La Plata
08069,Larimer,7,2019,19575,,,,,,72019Larimer
08071,Las Animas,7,2019,1082,,,,,,72019Las Animas
08077,Mesa,7,2019,,,,,NR,,72019Mesa
08081,Moffat,7,2019,,,,,NR,,72019Moffat
08083,Montezuma,7,2019,,,,,NR,,72019Montezuma
08085,Montrose,7,2019,,,,,NR,,72019Montrose
08087,Morgan,7,2019,,,,,NR,,72019Morgan
08089,Otero,7,2019,,,,,NR,,72019Otero
08093,Park,7,2019,,,,,NR,,72019Park
08097,Pitkin,7,2019,,,,,NR,,72019Pitkin
08101,Pueblo,7,2019,17354,,,,,,72019Pueblo
08107,Routt,7,2019,3998,,,,,,72019Routt
08113,San Miguel,7,2019,,,,,NR,,72019San Miguel
08115,Sedgwick,7,2019,,,,,NR,,72019Sedgwick
08117,Summit,7,2019,2084,,,,,,72019Summit
08123,Weld,7,2019,8746,,,,,,72019Weld
,Sum of NR Counties,7,2019,22155,,,,,,72019Sum of NR Counties
08001,Adams,6,2019,40248,,,,,,62019Adams
08003,Alamosa,6,2019,,,,,NR,,62019Alamosa
08005,Arapahoe,6,2019,34767,,,,,,62019Arapahoe
08013,Boulder,6,2019,32044,,,,,,62019Boulder
08015,Chaffee,6,2019,,,,,NR,,62019Chaffee
08019,Clear Creek,6,2019,,,,,NR,,62019Clear Creek
08031,Denver,6,2019,419366,,,,,,62019Denver
08037,Eagle,6,2019,2418,,,,,,62019Eagle
08041,El Paso,6,2019,274695,,,,,,62019El Paso
08043,Fremont,6,2019,,,,,NR,,62019Fremont
08045,Garfield,6,2019,3582,,,,,,62019Garfield
08049,Grand,6,2019,,,,,NR,,62019Grand
08059,Jefferson,6,2019,39562,,,,,,62019Jefferson
08067,La Plata,6,2019,,,,,NR,,62019La Plata
08069,Larimer,6,2019,22399,,,,,,62019Larimer
08071,Las Animas,6,2019,1258,,,,,,62019Las Animas
08077,Mesa,6,2019,,,,,NR,,62019Mesa
08081,Moffat,6,2019,,,,,NR,,62019Moffat
08083,Montezuma,6,2019,,,,,NR,,62019Montezuma
08085,Montrose,6,2019,,,,,NR,,62019Montrose
08087,Morgan,6,2019,,,,,NR,,62019Morgan
08089,Otero,6,2019,,,,,NR,,62019Otero
08093,Park,6,2019,,,,,NR,,62019Park
08097,Pitkin,6,2019,1555,,,,,,62019Pitkin
08101,Pueblo,6,2019,21492,,,,,,62019Pueblo
08107,Routt,6,2019,3863,,,,,,62019Routt
08113,San Miguel,6,2019,,,,,NR,,62019San Miguel
08115,Sedgwick,6,2019,,,,,NR,,62019Sedgwick
08117,Summit,6,2019,2319,,,,,,62019Summit
08123,Weld,6,2019,8798,,,,,,62019Weld
,Sum of NR Counties,6,2019,23047,,,,,,62019Sum of NR Counties
08001,Adams,5,2019,14932,,,,,,52019Adams
08003,Alamosa,5,2019,,,,,NR,,52019Alamosa
08005,Arapahoe,5,2019,17175,,,,,,52019Arapahoe
08013,Boulder,5,2019,32725,,,,,,52019Boulder
08015,Chaffee,5,2019,,,,,NR,,52019Chaffee
08019,Clear Creek,5,2019,,,,,NR,,52019Clear Creek
08031,Denver,5,2019,350404,,,,,,52019Denver
