county,Month,Year,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code,ID
Yuma,12,2019,,,NL,NL,122019Yuma
Weld,12,2019,314840,2448689,,,122019Weld
Washington,12,2019,,,NL,NL,122019Washington
Teller,12,2019,,,NL,NL,122019Teller
Summit,12,2019,,2476854,NR,,122019Summit
Sum of NR Counties,12,2019,27314662,116437714,,,122019Sum of NR Counties
Sedgwick,12,2019,,,NR,NR,122019Sedgwick
San Miguel,12,2019,,444533,NR,,122019San Miguel
San Juan,12,2019,,13232,NL,,122019San Juan
Saguache,12,2019,,246391,NL,,122019Saguache
Routt,12,2019,153737,1112789,,,122019Routt
Rio Grande,12,2019,,,NL,NL,122019Rio Grande
Rio Blanco,12,2019,,,NL,NL,122019Rio Blanco
Pueblo,12,2019,754498,6312066,,,122019Pueblo
Prowers,12,2019,,,NL,NL,122019Prowers
Pitkin,12,2019,,1305423,NR,,122019Pitkin
Phillips,12,2019,,,NL,NL,122019Phillips
Park,12,2019,,405939,NR,,122019Park
Ouray,12,2019,,730178,NL,,122019Ouray
Otero,12,2019,,,NR,NR,122019Otero
Morgan,12,2019,,1452645,NR,,122019Morgan
Montrose,12,2019,,,NR,NR,122019Montrose
Montezuma,12,2019,,1793908,NR,,122019Montezuma
Moffat,12,2019,,853209,NR,,122019Moffat
Mineral,12,2019,,,NL,NL,122019Mineral
Mesa,12,2019,,1896560,NR,,122019Mesa
Logan,12,2019,,,NL,NL,122019Logan
Lincoln,12,2019,,,NL,NL,122019Lincoln
Las Animas,12,2019,27183,4024747,,,122019Las Animas
Larimer,12,2019,805873,8164102,,,122019Larimer
Lake,12,2019,,241905,NL,,122019Lake
La Plata,12,2019,,2490195,NR,,122019La Plata
Kit Carson,12,2019,,,NL,NL,122019Kit Carson
Kiowa,12,2019,,,NL,NL,122019Kiowa
Jefferson,12,2019,1443914,4707227,,,122019Jefferson
Jackson,12,2019,,,NL,NL,122019Jackson
Huerfano,12,2019,,170840,NL,,122019Huerfano
Hinsdale,12,2019,,,NL,NL,122019Hinsdale
Gunnison,12,2019,,659584,NL,,122019Gunnison
Grand,12,2019,,655035,NR,,122019Grand
Gilpin,12,2019,,238682,NL,,122019Gilpin
Garfield,12,2019,113011,1883752,,,122019Garfield
Fremont,12,2019,,,NR,NL,122019Fremont
Elbert,12,2019,,,NL,NL,122019Elbert
El Paso,12,2019,8251711,,,NR,122019El Paso
Eagle,12,2019,107825,1847271,,,122019Eagle
Douglas,12,2019,,,NL,NL,122019Douglas
Dolores,12,2019,,,NL,NL,122019Dolores
Denver,12,2019,11636868,33246095,,,122019Denver
Delta,12,2019,,,NR,NL,122019Delta
Custer,12,2019,,,NL,NL,122019Custer
Crowley,12,2019,,,NL,NR,122019Crowley
Costilla,12,2019,,350369,NL,,122019Costilla
Conejos,12,2019,,,NL,NR,122019Conejos
Clear Creek,12,2019,,662522,NR,,122019Clear Creek
Cheyenne,12,2019,,,NL,NL,122019Cheyenne
Chaffee,12,2019,,,NR,NR,122019Chaffee
Broomfield,12,2019,,,NL,NL,122019Broomfield
Boulder,12,2019,1214853,8622927,,,122019Boulder
Bent,12,2019,,,NL,NR,122019Bent
Baca,12,2019,,,NL,NL,122019Baca
Archuleta,12,2019,,893754,NL,,122019Archuleta
Arapahoe,12,2019,875889,12359535,,,122019Arapahoe
Alamosa,12,2019,,,NR,NL,122019Alamosa
