county,Month,Year,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code,ID
Adams,8,2019,17037,,,,,,82019Adams
Alamosa,8,2019,,,,,NR,,82019Alamosa
Arapahoe,8,2019,24256,,,,,,82019Arapahoe
Boulder,8,2019,33557,,,,,,82019Boulder
Chaffee,8,2019,,,,,NR,,82019Chaffee
Clear Creek,8,2019,,,,,NR,,82019Clear Creek
Denver,8,2019,392226,,,,,,82019Denver
Eagle,8,2019,2826,,,,,,82019Eagle
El Paso,8,2019,270107,,,,,,82019El Paso
Fremont,8,2019,5548,,,,,,82019Fremont
Garfield,8,2019,3086,,,,,,82019Garfield
Grand,8,2019,,,,,NR,,82019Grand
Jefferson,8,2019,39411,,,,,,82019Jefferson
La Plata,8,2019,,,,,NR,,82019La Plata
Larimer,8,2019,22969,,,,,,82019Larimer
Las Animas,8,2019,1901,,,,,,82019Las Animas
Mesa,8,2019,,,,,NR,,82019Mesa
Moffat,8,2019,,,,,NR,,82019Moffat
Montezuma,8,2019,1102,,,,,,82019Montezuma
Montrose,8,2019,,,,,NR,,82019Montrose
Morgan,8,2019,,,,,NR,,82019Morgan
Otero,8,2019,,,,,NR,,82019Otero
Park,8,2019,,,,,NR,,82019Park
Pitkin,8,2019,,,,,NR,,82019Pitkin
Pueblo,8,2019,21459,,,,,,82019Pueblo
Routt,8,2019,3878,,,,,,82019Routt
San Miguel,8,2019,,,,,NR,,82019San Miguel
Sedgwick,8,2019,,,,,NR,,82019Sedgwick
Summit,8,2019,,,,,NR,,82019Summit
Weld,8,2019,8858,,,,,,82019Weld
Sum of NR Counties,8,2019,18015,,,,,,82019Sum of NR Counties
Adams,7,2019,16539,,,,,,72019Adams
Alamosa,7,2019,,,,,NR,,72019Alamosa
Arapahoe,7,2019,23076,,,,,,72019Arapahoe
Boulder,7,2019,29361,,,,,,72019Boulder
Chaffee,7,2019,,,,,NR,,72019Chaffee
Clear Creek,7,2019,,,,,NR,,72019Clear Creek
Denver,7,2019,357367,,,,,,72019Denver
Eagle,7,2019,2501,,,,,,72019Eagle
El Paso,7,2019,291131,,,,,,72019El Paso
Fremont,7,2019,,,,,NR,,72019Fremont
Garfield,7,2019,3797,,,,,,72019Garfield
Grand,7,2019,,,,,NR,,72019Grand
Jefferson,7,2019,39008,,,,,,72019Jefferson
La Plata,7,2019,,,,,NR,,72019La Plata
Larimer,7,2019,19575,,,,,,72019Larimer
Las Animas,7,2019,1082,,,,,,72019Las Animas
Mesa,7,2019,,,,,NR,,72019Mesa
Moffat,7,2019,,,,,NR,,72019Moffat
Montezuma,7,2019,,,,,NR,,72019Montezuma
Montrose,7,2019,,,,,NR,,72019Montrose
Morgan,7,2019,,,,,NR,,72019Morgan
Otero,7,2019,,,,,NR,,72019Otero
Park,7,2019,,,,,NR,,72019Park
Pitkin,7,2019,,,,,NR,,72019Pitkin
Pueblo,7,2019,17354,,,,,,72019Pueblo
Routt,7,2019,3998,,,,,,72019Routt
San Miguel,7,2019,,,,,NR,,72019San Miguel
Sedgwick,7,2019,,,,,NR,,72019Sedgwick
Summit,7,2019,2084,,,,,,72019Summit
Weld,7,2019,8746,,,,,,72019Weld
Sum of NR Counties,7,2019,22155,,,,,,72019Sum of NR Counties
Adams,6,2019,40248,,,,,,62019Adams
Alamosa,6,2019,,,,,NR,,62019Alamosa
Arapahoe,6,2019,34767,,,,,,62019Arapahoe
Boulder,6,2019,32044,,,,,,62019Boulder
Chaffee,6,2019,,,,,NR,,62019Chaffee
Clear Creek,6,2019,,,,,NR,,62019Clear Creek
Denver,6,2019,419366,,,,,,62019Denver
Eagle,6,2019,2418,,,,,,62019Eagle
El Paso,6,2019,274695,,,,,,62019El Paso
Fremont,6,2019,,,,,NR,,62019Fremont
Garfield,6,2019,3582,,,,,,62019Garfield
Grand,6,2019,,,,,NR,,62019Grand
Jefferson,6,2019,39562,,,,,,62019Jefferson
La Plata,6,2019,,,,,NR,,62019La Plata
Larimer,6,2019,22399,,,,,,62019Larimer
Las Animas,6,2019,1258,,,,,,62019Las Animas
Mesa,6,2019,,,,,NR,,62019Mesa
Moffat,6,2019,,,,,NR,,62019Moffat
Montezuma,6,2019,,,,,NR,,62019Montezuma
Montrose,6,2019,,,,,NR,,62019Montrose
Morgan,6,2019,,,,,NR,,62019Morgan
Otero,6,2019,,,,,NR,,62019Otero
Park,6,2019,,,,,NR,,62019Park
Pitkin,6,2019,1555,,,,,,62019Pitkin
Pueblo,6,2019,21492,,,,,,62019Pueblo
Routt,6,2019,3863,,,,,,62019Routt
San Miguel,6,2019,,,,,NR,,62019San Miguel
Sedgwick,6,2019,,,,,NR,,62019Sedgwick
Summit,6,2019,2319,,,,,,62019Summit
Weld,6,2019,8798,,,,,,62019Weld
Sum of NR Counties,6,2019,23047,,,,,,62019Sum of NR Counties
Adams,5,2019,14932,,,,,,52019Adams
Alamosa,5,2019,,,,,NR,,52019Alamosa
Arapahoe,5,2019,17175,,,,,,52019Arapahoe
Boulder,5,2019,32725,,,,,,52019Boulder
Chaffee,5,2019,,,,,NR,,52019Chaffee
Clear Creek,5,2019,,,,,NR,,52019Clear Creek
Denver,5,2019,350404,,,,,,52019Denver
Eagle,5,2019,2546,,,,,,52019Eagle
El Paso,5,2019,255727,,,,,,52019El Paso
Fremont,5,2019,,,,,NR,,52019Fremont
Garfield,5,2019,3206,,,,,,52019Garfield
Grand,5,2019,,,,,NR,,52019Grand
Jefferson,5,2019,27501,,,,,,52019Jefferson
La Plata,5,2019,,,,,NR,,52019La Plata
Larimer,5,2019,22562,,,,,,52019Larimer
Las Animas,5,2019,958,,,,,,52019Las Animas
Mesa,5,2019,,,,,NR,,52019Mesa
Montezuma,5,2019,1327,,,,,,52019Montezuma
Montrose,5,2019,,,,,NR,,52019Montrose
Morgan,5,2019,,,,,NR,,52019Morgan
Otero,5,2019,,,,,NR,,52019Otero
Park,5,2019,,,,,NR,,52019Park
Pitkin,5,2019,1696,,,,,,52019Pitkin
Pueblo,5,2019,22190,,,,,,52019Pueblo
Routt,5,2019,3972,,,,,,52019Routt
San Miguel,5,2019,,,,,NR,,52019San Miguel
Sedgwick,5,2019,,,,,NR,,52019Sedgwick
Summit,5,2019,2598,,,,,,52019Summit
Weld,5,2019,9444,,,,,,52019Weld
Sum of NR Counties,5,2019,22563,,,,,,52019Sum of NR Counties
Adams,4,2019,21146,,,,,,42019Adams
Alamosa,4,2019,,,,,NR,,42019Alamosa
Arapahoe,4,2019,23080,,,,,,42019Arapahoe
Boulder,4,2019,33388,,,,,,42019Boulder
Chaffee,4,2019,,,,,NR,,42019Chaffee
Clear Creek,4,2019,,,,,NR,,42019Clear Creek
Denver,4,2019,346317,,,,,,42019Denver
Eagle,4,2019,4199,,,,,,42019Eagle
El Paso,4,2019,264408,,,,,,42019El Paso
Fremont,4,2019,4323,,,,,,42019Fremont
Garfield,4,2019,4111,,,,,,42019Garfield
Grand,4,2019,,,,,NR,,42019Grand
Jefferson,4,2019,36049,,,,,,42019Jefferson
La Plata,4,2019,,,,,NR,,42019La Plata
Larimer,4,2019,25736,,,,,,42019Larimer
Las Animas,4,2019,1114,,,,,,42019Las Animas
Mesa,4,2019,,,,,NR,,42019Mesa
Moffat,4,2019,,,,,NR,,42019Moffat
Montezuma,4,2019,1261,,,,,,42019Montezuma
Montrose,4,2019,,,,,NR,,42019Montrose
Morgan,4,2019,,,,,NR,,42019Morgan
Otero,4,2019,,,,,NR,,42019Otero
Park,4,2019,,,,,NR,,42019Park
Pitkin,4,2019,1496,,,,,,42019Pitkin
Pueblo,4,2019,21617,,,,,,42019Pueblo
Routt,4,2019,4195,,,,,,42019Routt
San Miguel,4,2019,,,,,NR,,42019San Miguel
Sedgwick,4,2019,,,,,NR,,42019Sedgwick
Summit,4,2019,2536,,,,,,42019Summit
Weld,4,2019,9085,,,,,,42019Weld
Sum of NR Counties,4,2019,18282,,,,,,42019Sum of NR Counties
Adams,3,2019,16041,,,,,,32019Adams
Alamosa,3,2019,,,,,NR,,32019Alamosa
Arapahoe,3,2019,29064,,,,,,32019Arapahoe
Boulder,3,2019,31224,,,,,,32019Boulder
Chaffee,3,2019,,,,,NR,,32019Chaffee
Clear Creek,3,2019,,,,,NR,,32019Clear Creek
Denver,3,2019,307975,,,,,,32019Denver
Eagle,3,2019,,,,,NR,,32019Eagle
El Paso,3,2019,225598,,,,,,32019El Paso
Fremont,3,2019,,,,,NR,,32019Fremont
Garfield,3,2019,4507,,,,,,32019Garfield
Grand,3,2019,,,,,NR,,32019Grand
Jefferson,3,2019,31523,,,,,,32019Jefferson
La Plata,3,2019,,,,,NR,,32019La Plata
Larimer,3,2019,21259,,,,,,32019Larimer
Las Animas,3,2019,576,,,,,,32019Las Animas
Mesa,3,2019,,,,,NR,,32019Mesa
Montezuma,3,2019,1339,,,,,,32019Montezuma
Montrose,3,2019,,,,,NR,,32019Montrose
Morgan,3,2019,,,,,NR,,32019Morgan
Otero,3,2019,,,,,NR,,32019Otero
Park,3,2019,,,,,NR,,32019Park
Pitkin,3,2019,1871,,,,,,32019Pitkin
Pueblo,3,2019,14854,,,,,,32019Pueblo
Routt,3,2019,3669,,,,,,32019Routt
San Miguel,3,2019,,,,,NR,,32019San Miguel
