"CAGDP9 Real GDP by county and metropolitan area 1/"
"(Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"08000","Colorado","1","All industry total",264791078,268680788,273519504,282533885,295698588,309179631,316751784,329573719,341076739
"08000","Colorado","2","  Private industries",229708099,233908957,238837764,247964297,260615026,272995774,279840689,291952513,302955330
"08000","Colorado","3","    Agriculture, forestry, fishing and hunting",3096380,2889383,2559735,2587139,2877852,3504236,3812901,3147159,3054639
"08000","Colorado","6","    Mining, quarrying, and oil and gas extraction",11787567,11967047,12347303,13107242,16403575,18629707,17241375,18933465,19424998
"08000","Colorado","10","    Utilities",3699966,3819577,3765227,3591164,3591288,3594381,3654387,3562008,3571895
"08000","Colorado","11","    Construction",9728090,9733954,10082838,11940545,13360363,14295063,15149661,15849510,16512210
"08000","Colorado","12","    Manufacturing",21107091,21152797,20770899,21179230,22096809,22599631,22331855,23461152,24577934
"08000","Colorado","13","      Durable goods manufacturing",12277722,12839270,13192344,13765942,13689218,13986321,13976999,14869033,15383187
"08000","Colorado","25","      Nondurable goods manufacturing",8901180,8332300,7578556,7411720,8407465,8613072,8355199,8593841,9189768
"08000","Colorado","34","    Wholesale trade",15058328,15169000,15819809,16391227,17350745,18132405,18209280,18939358,19073302
"08000","Colorado","35","    Retail trade",14776532,14610573,14809710,15201973,15717038,16514112,17353407,18036481,18551142
"08000","Colorado","36","    Transportation and warehousing",7559311,7293967,7757159,9662383,10455636,11004007,10970012,11498136,12354238
"08000","Colorado","45","    Information",18623506,18730760,17874139,19196212,19408950,19276654,20060578,21306804,21971340
"08000","Colorado","50","    Finance, insurance, real estate, rental, and leasing",50629643,53035146,54129876,54243829,54662186,57225755,59909748,62101443,64116814
"08000","Colorado","51","      Finance and insurance",14182505,14739430,15595010,15113468,15027681,15452376,15835930,15946307,16367704
"08000","Colorado","56","      Real estate and rental and leasing",36441832,38285393,38534866,39134859,39647832,41803888,44134218,46264457,47875349
"08000","Colorado","59","    Professional and business services",37073280,38095718,40676929,41129100,43345507,44718492,45505099,48829198,51639944
"08000","Colorado","60","      Professional, scientific, and technical services",24037131,24731853,25729356,26768434,27989181,28881057,30162564,31527946,33825083
"08000","Colorado","64","      Management of companies and enterprises",5159788,5400543,6486941,5915729,6488203,6863774,6327340,7744788,7628876
