IncidentYear,County,Agency,NCICCODE,AgeGroup,Gender,RaceCode,Location,LocationGroup,NumberOfCases
2012,Adams,Adams County SO,MJPossession,,,,Shopping Mall,Retail site/bank/restaurant/bar,2
2012,Adams,Adams County SO,MJProduction,,,,Residence/Home,Residence/Home,17
2012,Adams,Adams County SO,MJUnknown,,,,Residence/Home,Residence/Home,7
2012,Adams,Brighton PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,1
2012,Adams,Brighton PD,MJPossession,,,,Government/Public Building,Public building,1
2012,Adams,Brighton PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,71
2012,Adams,Brighton PD,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Adams,Brighton PD,MJSales,,,,Residence/Home,Residence/Home,1
2012,Adams,Brighton PD,MJUnknown,,,,Other/Unknown,Other,1
2012,Adams,Brighton PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,2
2012,Adams,Brighton PD,MJUnknown,,,,Residence/Home,Residence/Home,1
2012,Adams,Brighton PD,MJUnknown,,,,School/College(Historical Only),School/College(Historical Only),1
2012,Adams,Commerce City PD,MJPossession,,,,Park/Playground,Public space,4
2012,Adams,Commerce City PD,MJPossession,,,,School/College(Historical Only),School/College(Historical Only),25
2012,Adams,Commerce City PD,MJUnknown,,,,Arena/Stadium/Fairgrounds/Coliseum,Public space,1
2012,Adams,Commerce City PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,5
2012,Adams,Federal Heights PD,MJPossession,,,,Field/Woods,Public space,3
2012,Adams,Federal Heights PD,MJPossession,,,,Government/Public Building,Public building,2
2012,Adams,Federal Heights PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2012,Adams,Federal Heights PD,MJUnknown,,,,Residence/Home,Residence/Home,2
2012,Adams,Northglenn PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,109
2012,Adams,Northglenn PD,MJPossession,,,,Other/Unknown,Other,3
2012,Adams,Northglenn PD,MJPossession,,,,Residence/Home,Residence/Home,17
2012,Adams,Thornton PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2012,Adams,Thornton PD,MJPossession,,,,Drug Store/Doctors Office/Hospital,Drug Store/Doctors Office/Hospital,1
2012,Adams,Thornton PD,MJPossession,,,,Other/Unknown,Other,84
2012,Adams,Thornton PD,MJPossession,,,,Residence/Home,Residence/Home,28
2012,Adams,Thornton PD,MJSales,,,,Other/Unknown,Other,3
2012,Adams,Thornton PD,MJSales,,,,Residence/Home,Residence/Home,5
2012,Adams,Westminster PD,MJPossession,,,,Bank/Savings and Loan,Bank/Savings and Loan,1
2012,Adams,Westminster PD,MJPossession,,,,Bar/Nightclub,Bar/Nightclub,4
2012,Adams,Westminster PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,25
2012,Adams,Westminster PD,MJPossession,,,,Shopping Mall,Retail site/bank/restaurant/bar,1
2012,Adams,Westminster PD,MJProduction,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Adams,Westminster PD,MJProduction,,,,Residence/Home,Residence/Home,3
2012,Adams,Westminster PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,6
2012,Arapahoe,Araphaoe County SO,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,7
2012,Arapahoe,Aurora PD,MJPossession,,,,Bar/Nightclub,Bar/Nightclub,5
2012,Arapahoe,Aurora PD,MJPossession,,,,Grocery/Supermarket,Retail site/bank/restaurant/bar,3
2012,Arapahoe,Aurora PD,MJPossession,,,,Park/Playground,Public space,10
2012,Arapahoe,Aurora PD,MJPossession,,,,Service/Gas Station,Retail site/bank/restaurant/bar,3
2012,Arapahoe,Aurora PD,MJPossession,,,,Shopping Mall,Retail site/bank/restaurant/bar,5
2012,Arapahoe,Aurora PD,MJProduction,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Arapahoe,Aurora PD,MJProduction,,,,Residence/Home,Residence/Home,63
2012,Arapahoe,Aurora PD,MJSales,,,,Field/Woods,Public space,1
2012,Arapahoe,Aurora PD,MJSales,,,,School – Elementary/Secondary,School – Elementary/Secondary,5
2012,Arapahoe,Aurora PD,MJUnknown,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2012,Arapahoe,Centennial PD,MJPossession,,,,Other/Unknown,Other,2
2012,Arapahoe,Centennial PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,12
2012,Arapahoe,Centennial PD,MJPossession,,,,Rental Storage Facility,Rental Storage Facility,1
2012,Arapahoe,Centennial PD,MJPossession,,,,Residence/Home,Residence/Home,14
2012,Arapahoe,Englewood PD,MJPossession,,,,Park/Playground,Public space,11
2012,Arapahoe,Englewood PD,MJPossession,,,,Field/Woods,Public space,1
2012,Arapahoe,Englewood PD,MJPossession,,,,Other/Unknown,Other,6
2012,Arapahoe,Englewood PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,21
2012,Arapahoe,Englewood PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Arapahoe,Glendale PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2012,Arapahoe,Glendale PD,MJPossession,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,1
2012,Arapahoe,Glendale PD,MJPossession,,,,Specialty Store,Specialty Store,1
2012,Arapahoe,Greenwood Village PD,MJUnknown,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,1
2012,Arapahoe,Greenwood Village PD,MJUnknown,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2012,Arapahoe,Littleton PD,MJPossession,,,,Air/Bus/Train Terminal,Public space,4
2012,Arapahoe,Littleton PD,MJPossession,,,,Grocery/Supermarket,Retail site/bank/restaurant/bar,2
2012,Arapahoe,Littleton PD,MJPossession,,,,Rental Storage Facility,Rental Storage Facility,1
2012,Arapahoe,Littleton PD,MJPossession,,,,School – College/University,School – College/University,4
2012,Boulder,Boulder PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,1
2012,Boulder,Boulder PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2012,Boulder,Boulder PD,MJPossession,,,,Drug Store/Doctors Office/Hospital,Drug Store/Doctors Office/Hospital,1
2012,Boulder,Boulder PD,MJPossession,,,,Field/Woods,Public space,4
2012,Boulder,Boulder PD,MJPossession,,,,Government/Public Building,Public building,10
2012,Boulder,Boulder PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,19
2012,Boulder,Boulder PD,MJPossession,,,,Specialty Store,Specialty Store,3
2012,Boulder,Boulder PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,3
2012,Boulder,Lafayette PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,2
2012,Alamosa,Alamosa County SO,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Alamosa,Alamosa County SO,MJPossession,,,,Residence/Home,Residence/Home,1
2012,Arapahoe,Arapahoe Community College,MJPossession,,,,School – College/University,School – College/University,1
2012,Arapahoe,Araphaoe County SO,MJPossession,,,,Field/Woods,Public space,2
2012,Arapahoe,Araphaoe County SO,MJPossession,,,,Government/Public Building,Public building,1
2012,Arapahoe,Araphaoe County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,11
2012,Arapahoe,Aurora PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,3
2012,Arapahoe,Aurora PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,400
2012,Arapahoe,Aurora PD,MJPossession,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,20
2012,Arapahoe,Aurora PD,MJPossession,,,,Specialty Store,Specialty Store,4
2012,Arapahoe,Aurora PD,MJProduction,,,,Commercial/Office Building,Workplace,3
2012,Arapahoe,Aurora PD,MJSales,,,,Air/Bus/Train Terminal,Public space,1
2012,Arapahoe,Aurora PD,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,12
2012,Arapahoe,Aurora PD,MJSales,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,7
2012,Arapahoe,Aurora PD,MJSales,,,,Residence/Home,Residence/Home,4
2012,Arapahoe,Aurora PD,MJSmuggle,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2012,Arapahoe,Aurora PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,3
2012,Douglas,Castle Rock PD,MJUnknown,,,,Residence/Home,Residence/Home,2
2012,Douglas,Douglas County SO,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,1
2012,Douglas,Douglas County SO,MJPossession,,,,Residence/Home,Residence/Home,16
2012,Douglas,Lone Tree PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,18
2012,Douglas,Lone Tree PD,MJUnknown,,,,Other/Unknown,Other,1
2012,Douglas,Parker PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,11
2012,Douglas,Parker PD,MJPossession,,,,School – College/University,School – College/University,1
2012,Douglas,Parker PD,MJPossession,,,,School/College(Historical Only),School/College(Historical Only),7
2012,Douglas,Parker PD,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Eagle,Avon PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,22
2012,Eagle,Avon PD,MJPossession,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,1
2012,Eagle,Avon PD,MJPossession,,,,Residence/Home,Residence/Home,8
2012,Eagle,Avon PD,MJProduction,,,,Residence/Home,Residence/Home,2
2012,Eagle,Basalt PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2012,Eagle,Eagle County SO,MJPossession,,,,Government/Public Building,Public building,2
2012,Eagle,Eagle County SO,MJPossession,,,,Other/Unknown,Other,2
2012,Eagle,Eagle County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,6
2012,Eagle,Eagle County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2012,Eagle,Eagle County SO,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,3
2012,Eagle,Eagle PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,7
2012,Eagle,Vail PD,MJPossession,,,,Field/Woods,Public space,1
2012,Eagle,Vail PD,MJPossession,,,,Government/Public Building,Public building,1
2012,Eagle,Vail PD,MJPossession,,,,Other/Unknown,Other,8
2012,Eagle,Vail PD,MJPossession,,,,Restaurant,Restaurant,1
2012,Eagle,Vail PD,MJPossession,,,,Specialty Store,Specialty Store,3
2012,El Paso,Colorado Springs PD,MJPossession,,,,Commercial/Office Building,Workplace,1
2012,El Paso,Colorado Springs PD,MJPossession,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,5
2012,El Paso,Colorado Springs PD,MJPossession,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2012,El Paso,Colorado Springs PD,MJPossession,,,,Residence/Home,Residence/Home,51
2012,El Paso,Colorado Springs PD,MJPossession,,,,School – College/University,School – College/University,4
2012,El Paso,Colorado Springs PD,MJPossession,,,,Shopping Mall,Retail site/bank/restaurant/bar,1
2012,El Paso,Colorado Springs PD,MJSales,,,,Field/Woods,Public space,1
2012,El Paso,Colorado Springs PD,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,13
2012,El Paso,Colorado Springs PD,MJSales,,,,Park/Playground,Public space,7
2012,El Paso,Colorado Springs PD,MJSales,,,,Specialty Store,Specialty Store,1
2012,El Paso,Colorado Springs PD,MJSmuggle,,,,Residence/Home,Residence/Home,1
2012,El Paso,Colorado Springs PD,MJUnknown,,,,Government/Public Building,Public building,1
2012,El Paso,Colorado Springs PD,MJUnknown,,,,School – Elementary/Secondary,School – Elementary/Secondary,2
2012,El Paso,El Paso County SO,MJPossession,,,,School/College(Historical Only),School/College(Historical Only),1
2012,El Paso,El Paso County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,43
2012,El Paso,El Paso County SO,MJUnknown,,,,Park/Playground,Public space,1
2012,El Paso,El Paso County SO,MJUnknown,,,,Service/Gas Station,Retail site/bank/restaurant/bar,1
2012,El Paso,Fountain PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,50
2012,El Paso,Fountain PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,2
2012,El Paso,Fountain PD,MJProduction,,,,Residence/Home,Residence/Home,2
2012,El Paso,Manitou Springs PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,2
2012,El Paso,Manitou Springs PD,MJPossession,,,,Other/Unknown,Other,2
2012,El Paso,Manitou Springs PD,MJPossession,,,,Park/Playground,Public space,4
2012,El Paso,Manitou Springs PD,MJPossession,,,,Service/Gas Station,Retail site/bank/restaurant/bar,1
2012,El Paso,Monument PD,MJPossession,,,,Restaurant,Restaurant,1
2012,El Paso,University of Colorado Springs,MJSales,,,,School – College/University,School – College/University,1
2012,Fremont,Canon City PD,MJPossession,,,,Other/Unknown,Other,2
2012,Fremont,Canon City PD,MJPossession,,,,Park/Playground,Public space,1
2012,Fremont,Canon City PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,6
2012,Fremont,Canon City PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,5
2012,Archuleta,Pagosa Springs PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,3
2012,Baca,Campo PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,13
2012,Boulder,Boulder PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,69
2012,Boulder,Boulder PD,MJPossession,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2012,Boulder,Boulder PD,MJPossession,,,,Other/Unknown,Other,47
2012,Boulder,Boulder PD,MJPossession,,,,Residence/Home,Residence/Home,7
2012,Boulder,Boulder PD,MJUnknown,,,,Bar/Nightclub,Bar/Nightclub,3
2012,Boulder,Boulder PD,MJUnknown,,,,Field/Woods,Public space,3
2012,Boulder,Boulder PD,MJUnknown,,,,Government/Public Building,Public building,4
2012,Boulder,Boulder PD,MJUnknown,,,,School – Elementary/Secondary,School – Elementary/Secondary,2
2012,Boulder,Lafayette PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,72
2012,Boulder,Lafayette PD,MJUnknown,,,,Commercial/Office Building,Workplace,1
2012,Boulder,Longmont PD,MJPossession,,,,Drug Store/Doctors Office/Hospital,Drug Store/Doctors Office/Hospital,2
2012,Boulder,Longmont PD,MJPossession,,,,Field/Woods,Public space,7
2012,Boulder,Longmont PD,MJPossession,,,,Government/Public Building,Public building,1
2012,Boulder,Longmont PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,19
2012,Boulder,Longmont PD,MJPossession,,,,Specialty Store,Specialty Store,2
2012,Boulder,Longmont PD,MJProduction,,,,School/College(Historical Only),School/College(Historical Only),1
2012,Boulder,Longmont PD,MJSales,,,,Residence/Home,Residence/Home,2
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJPossession,,,,Amusement Park,Public space,3
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJPossession,,,,Arena/Stadium/Fairgrounds/Coliseum,Public space,5
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,1
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,125
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJPossession,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2012,Broomfield,BROOMFIELD POLICE DEPARTMENT,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2012,Chaffee,Chaffee County SO,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,11
2012,Chaffee,Chaffee County SO,MJPossession,,,,Residence/Home,Residence/Home,2
2012,Chaffee,Salida PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,5
2012,Cheyenne,Cheyenne County SO,MJPossession,,,,Park/Playground,Public space,1
2012,Clear Creek,Clear Creek County SO,MJPossession,,,,Field/Woods,Public space,3
2012,Clear Creek,Clear Creek County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,3
2012,Clear Creek,Clear Creek County SO,MJPossession,,,,Specialty Store,Specialty Store,2
2012,Clear Creek,Clear Creek County SO,MJProduction,,,,Residence/Home,Residence/Home,1
2012,Conejos,SO CONEJOS COUNTY,MJPossession,,,,School/College(Historical Only),School/College(Historical Only),1
2012,Delta,Delta County SO,MJPossession,,,,Residence/Home,Residence/Home,1
2012,Delta,Delta PD,MJPossession,,,,Other/Unknown,Other,1
2012,Delta,Delta PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2012,Delta,Delta PD,MJPossession,,,,Residence/Home,Residence/Home,4
2012,Delta,Delta PD,MJPossession,,,,School – College/University,School – College/University,1
2012,Denver,AURARIA DEPARTMENT OF PUBLIC SAFETY,MJPossession,,,,School/College(Historical Only),School/College(Historical Only),6
2012,Denver,Denver PD - CRIMINAL,MJPossession,,,,Field/Woods,Public space,2
2012,Denver,Denver PD - CRIMINAL,MJPossession,,,,Restaurant,Restaurant,2
2012,Denver,Denver PD - CRIMINAL,MJProduction,,,,Air/Bus/Train Terminal,Public space,1
2012,Garfield,Garfield County SO,MJPossession,,,,Government/Public Building,Public building,1
2012,Garfield,Garfield County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,2
2012,Garfield,Glenwood Springs PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2012,Garfield,Glenwood Springs PD,MJPossession,,,,Rest Area,Public space,1
2012,Garfield,Glenwood Springs PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,4
2012,Garfield,Glenwood Springs PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2012,Garfield,Glenwood Springs PD,MJUnknown,,,,Residence/Home,Residence/Home,2
2012,Garfield,New Castle PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2012,Garfield,New Castle PD,MJPossession,,,,Residence/Home,Residence/Home,1
2012,Garfield,Silt PD,MJPossession,,,,Residence/Home,Residence/Home,1
2012,Gilpin,Black Hawk PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,14
2012,Gilpin,Black Hawk PD,MJUnknown,,,,Gambling Facility/Casino/Race Track,Retail site/bank/restaurant/bar,2
