CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,,,,,,,,,
Gross Domestic Product (GDP): All industry total (Thousands of dollars) ,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,
County,,,,,,,,,,
GeoFips,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018
6000,California,1974614532,2050056806,2144497264,2262771182,2395162327,2553772243,2657797648,2819110670,2997732750
6001,"Alameda, CA",89966030,92778241,97170941,103118832,110050098,121519158,128439663,136890879,144494091
6003,"Alpine, CA",147710,162546,168411,180411,193037,203467,208483,209797,230220
6005,"Amador, CA",1406458,1416722,1372634,1460242,1540876,1626075,1692374,1759321,1864239
6007,"Butte, CA",7557997,7762340,7682299,8341599,8289012,8763463,9331561,9862966,10332996
6009,"Calaveras, CA",1203551,1238834,1160530,1193781,1258136,1344809,1480543,1622265,1642450
6011,"Colusa, CA",1266045,1427494,1319249,1634794,1432105,1710825,1556676,1487941,1721047
6013,"Contra Costa, CA",60049666,59163549,61245902,62486091,68800230,70150916,67275036,75465287,82436416
6015,"Del Norte, CA",798008,832247,832732,856986,878468,925446,970142,992350,1046680
6017,"El Dorado, CA",5806703,5975670,5919994,6279353,6707124,7105714,7750907,8293564,8765718
6019,"Fresno, CA",33954059,35687433,35320177,36558106,38924283,40822727,41840691,44556601,47408857
6021,"Glenn, CA",1088084,1138597,1114944,1275478,1211772,1210040,1294860,1302819,1483786
6023,"Humboldt, CA",4988775,5126996,5110816,5315326,5488962,5874177,6164295,6510807,6817827
6025,"Imperial, CA",6422053,7154758,6900001,7300495,7309351,7971536,8075737,8488801,8444865
6027,"Inyo, CA",1080668,1083756,1095813,1124366,1163821,1207493,1284779,1313499,1346160
6029,"Kern, CA",43603653,45407983,47583866,48355636,49577455,44755730,44563954,47855537,49514180
6031,"Kings, CA",4893556,5718842,5351339,5358251,6048755,5711831,5663990,5860271,6145790
6033,"Lake, CA",1727982,1775365,1807263,1900597,1990529,2072839,2202692,2304447,2423297
6035,"Lassen, CA",1151886,1253538,1236708,1241971,1303118,1365595,1416011,1441030,1487738
6037,"Los Angeles, CA",554244851,575123723,594533416,618955701,648808580,689496475,714411238,747458756,787176672
6039,"Madera, CA",4654874,4917850,5236840,5714971,6232488,5944380,6267313,6691550,7201526
6041,"Marin, CA",15924350,16525827,17253018,18087752,19268853,20396361,21404151,22143494,23648191
6043,"Mariposa, CA",617511,689847,655234,669812,703349,734668,812817,877467,910996
6045,"Mendocino, CA",3236916,3186370,3165290,3296851,3398028,3595561,3723986,3850625,4050620
6047,"Merced, CA",7052319,7749018,7673815,8558358,8995470,8681290,8779136,9775379,9799550
6049,"Modoc, CA",417482,422943,407024,405467,415270,437727,444541,435215,455169
6051,"Mono, CA",914178,945541,903930,933486,954915,970247,1032042,1161466,1144985
6053,"Monterey, CA",20518665,20376827,21334753,22327074,23097929,24960491,25282522,26260826,27423193
6055,"Napa, CA",7511788,7517304,8125419,8563036,9328177,9968906,10372452,10637292,11316865
