CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,,,,,,,,,,,
(Thousands of current dollars) ,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,
County,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
6000,California,1,All industry total,1974614532,2050056806,2144497264,2262771182,2395162327,2553772243,2657797648,2819110670,2997732750
6000,California,2,  Private industries,1716935051,1786927957,1880554502,1988551397,2105659485,2247912789,2341138358,2491302327,2656839211
6000,California,3,"    Agriculture, forestry, fishing and hunting",28686939,32784445,34377933,37979617,40978944,37935781,36628050,39017401,37498013
6000,California,6,"    Mining, quarrying, and oil and gas extraction",18350412,20556223,21345526,19396708,17147550,8890080,7231122,9396260,10949463
6000,California,10,    Utilities,28575764,29970926,29429485,31074363,32064066,33147778,33993065,36306423,34972383
6000,California,11,    Construction,61607191,58911124,64000527,72444784,78081336,88025823,95787273,102950688,111267168
6000,California,12,    Manufacturing,227173375,225344895,236799506,250438533,264400073,280043789,285735146,303764448,320738645
6000,California,13,      Durable goods manufacturing,131427706,137560044,141042296,148548361,154667047,167012215,175149356,186478036,198915889
6000,California,25,      Nondurable goods manufacturing,95745669,87784850,95757209,101890172,109733026,113031573,110585791,117286413,121822756
6000,California,34,    Wholesale trade,106949122,117885608,120576348,127612100,136625286,149088897,143557352,149425986,158245393
6000,California,35,    Retail trade,113856751,116224224,122242378,129533448,132712480,139948289,140435500,144796498,153392711
6000,California,36,    Transportation and warehousing,45793696,47259818,48332719,51425651,55171491,60878273,66758526,71961665,80113284
6000,California,45,    Information,146968166,151319462,153370999,181906051,190298561,215150757,236990244,259954790,287811716
6000,California,50,"    Finance, insurance, real estate, rental, and leasing",417336391,435960465,462931095,488943614,522690219,553938029,581891089,625639314,659572325
6000,California,51,      Finance and insurance,95713073,98775787,111429205,114207057,122094757,127746034,133212569,146783433,155592596
6000,California,56,      Real estate and rental and leasing,321623317,337184678,351501890,374736557,400595462,426191995,448678520,478855882,503979729
6000,California,59,    Professional and business services,255069296,272108719,293693278,293546272,312534478,336124065,347068772,366241328,397272253
6000,California,60,"      Professional, scientific, and technical services",170034277,182526700,199503962,196556089,209989509,227855003,231023674,242276670,262785844
6000,California,64,      Management of companies and enterprises,26562918,28547472,30048978,34022444,35911161,37899612,39393264,40710625,46740507
6000,California,65,      Administrative and support and waste management and remediation services,58472100,61034548,64140337,62967739,66633808,70369450,76651834,83254034,87745902
6000,California,68,"    Educational services, health care, and social assistance",147588791,154603342,162496579,168150422,174425973,185888454,197077045,206404663,218315175
6000,California,69,      Educational services,23129798,24271643,25467567,26094112,27726111,28921009,30110770,30543254,31791389
6000,California,70,      Health care and social assistance,124458993,130331700,137029012,142056310,146699861,156967446,166966276,175861409,186523786
6000,California,75,"    Arts, entertainment, recreation, accommodation, and food services",77314650,81690485,87048406,91060637,100383476,108389564,116395819,121502850,130031225
6000,California,76,"      Arts, entertainment, and recreation",28073501,29757425,32512263,32930758,35339781,35440963,37729489,38795197,41171763
6000,California,79,      Accommodation and food services,49241148,51933059,54536143,58129878,65043695,72948600,78666330,82707652,88859462
6000,California,82,    Other services (except government and government enterprises),41664508,42308221,43909723,45039197,48145553,50463210,51589355,53940012,56659458
6000,California,83,Government and government enterprises,257679481,263128849,263942762,274219786,289502841,305859454,316659290,327808343,340893539
6000,California,,Addenda:,,,,,,,,,
6000,California,87,Natural resources and mining,47037351,53340667,55723459,57376325,58126493,46825861,43859172,48413661,48447476
6000,California,88,Trade,220805872,234109832,242818727,257145549,269337766,289037185,283992852,294222484,311638103
6000,California,89,Transportation and utilities,74369460,77230744,77762204,82500015,87235557,94026051,100751591,108268088,115085667
6000,California,90,Manufacturing and information,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
6000,California,91,Private goods-producing industries 2/,335817918,337596686,356523491,380259642,400607902,414895472,425381591,455128798,480453289
6000,California,92,Private services-providing industries 3/,1381117133,1449331271,1524031011,1608291755,1705051583,1833017316,1915756767,2036173529,2176385922
6001,"Alameda, CA",1,All industry total,89966030,92778241,97170941,103118832,110050098,121519158,128439663,136890879,144494091
6001,"Alameda, CA",2,  Private industries,78513671,81172836,85397658,90577821,96542211,107159769,113390092,121366825,128340102
6001,"Alameda, CA",3,"    Agriculture, forestry, fishing and hunting",(D),(D),88096,87236,91579,108971,115032,122544,112952
6001,"Alameda, CA",6,"    Mining, quarrying, and oil and gas extraction",36964,46084,48365,45370,57428,47414,66352,90260,58985
6001,"Alameda, CA",10,    Utilities,253049,267869,273895,472279,553168,658982,438859,455730,501297
6001,"Alameda, CA",11,    Construction,4367659,4181865,4049093,4391344,4571277,5249876,5847866,6488074,7188060
6001,"Alameda, CA",12,    Manufacturing,10203726,10445127,11467770,12099912,12684002,14784053,16164292,17740356,18201587
6001,"Alameda, CA",13,      Durable goods manufacturing,6670807,6793042,7070845,7372082,7594279,8590659,9293743,10480679,11068874
6001,"Alameda, CA",25,      Nondurable goods manufacturing,3532919,3652085,4396925,4727830,5089722,6193394,6870549,7259678,7132713
6001,"Alameda, CA",34,    Wholesale trade,6704063,7333211,7430440,7801164,8197691,9102482,8870196,9256079,9762819
6001,"Alameda, CA",35,    Retail trade,4822052,4964067,5592006,5891463,6162538,6490463,6574058,6889207,7284660
6001,"Alameda, CA",36,    Transportation and warehousing,(D),(D),2923970,3002535,3161483,3481826,3751282,4039208,4285966
6001,"Alameda, CA",45,    Information,5187265,5062886,5416084,6354994,6681236,8658814,10776019,11882324,13074123
6001,"Alameda, CA",50,"    Finance, insurance, real estate, rental, and leasing",16093624,16581228,16948332,18370597,21297258,22474968,23904052,25257347,26246288
6001,"Alameda, CA",51,      Finance and insurance,2339571,2498782,2607322,2637781,4125045,4280757,4464942,4583404,4167748
6001,"Alameda, CA",56,      Real estate and rental and leasing,13754053,14082446,14341011,15732815,17172213,18194211,19439110,20673943,22078540
6001,"Alameda, CA",59,    Professional and business services,14702891,15982423,17107109,17500993,17897593,19604211,19434106,20810508,22192353
6001,"Alameda, CA",60,"      Professional, scientific, and technical services",9858129,10510726,11250411,11439855,12209332,13680786,13624994,14447913,15135562
6001,"Alameda, CA",64,      Management of companies and enterprises,2351933,2978305,3301032,3357596,2826107,2835593,2519350,2730804,3140684
6001,"Alameda, CA",65,      Administrative and support and waste management and remediation services,2492829,2493392,2555666,2703542,2862154,3087832,3289762,3631791,3916108
6001,"Alameda, CA",68,"    Educational services, health care, and social assistance",8631378,8471356,8955215,9299553,9457635,9907116,10323348,10749145,11275813
6001,"Alameda, CA",69,      Educational services,960969,1010041,1054321,1069266,1211920,1248977,1294432,1301217,1335743
6001,"Alameda, CA",70,      Health care and social assistance,7670409,7461315,7900894,8230286,8245715,8658139,9028916,9447929,9940070
6001,"Alameda, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",2580973,2842531,3168119,3244178,3643395,4364368,4749159,5050689,5441886
6001,"Alameda, CA",76,"      Arts, entertainment, and recreation",884991,1021504,1151055,980718,1040853,1426321,1593761,1727268,1867859
6001,"Alameda, CA",79,      Accommodation and food services,1695983,1821027,2017065,2263460,2602542,2938047,3155398,3323420,3574028
6001,"Alameda, CA",82,    Other services (except government and government enterprises),1834317,1881763,1929163,2016204,2085927,2226225,2375469,2535354,2713312
6001,"Alameda, CA",83,Government and government enterprises,11452359,11605405,11773282,12541011,13507887,14359389,15049570,15524054,16153990
6001,"Alameda, CA",,Addenda:,,,,,,,,,
6001,"Alameda, CA",87,Natural resources and mining,(D),(D),136462,132606,149007,156385,181385,212804,171937
6001,"Alameda, CA",88,Trade,11526115,12297279,13022445,13692627,14360230,15592944,15444254,16145286,17047479
6001,"Alameda, CA",89,Transportation and utilities,(D),(D),3197866,3474814,3714651,4140807,4190142,4494938,4787263
6001,"Alameda, CA",90,Manufacturing and information,15390991,15508014,16883854,18454906,19365237,23442868,26940312,29622681,31275710
6001,"Alameda, CA",91,Private goods-producing industries 2/,(D),(D),15653325,16623863,17404286,20190315,22193543,24441234,25561584
6001,"Alameda, CA",92,Private services-providing industries 3/,(D),(D),69744333,73953958,79137926,86969454,91196550,96925592,102778518
6003,"Alpine, CA",1,All industry total,147710,162546,168411,180411,193037,203467,208483,209797,230220
6003,"Alpine, CA",2,  Private industries,129977,143791,149425,159173,171332,180779,185784,189637,209925
6003,"Alpine, CA",3,"    Agriculture, forestry, fishing and hunting",110,9,40,(D),38,(D),118,163,188
6003,"Alpine, CA",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,(D),0,(D),0,0,0
6003,"Alpine, CA",10,    Utilities,274,(D),261,272,265,304,393,(D),365
6003,"Alpine, CA",11,    Construction,2779,1967,(D),(D),2390,(D),1026,(D),(D)
6003,"Alpine, CA",12,    Manufacturing,316,158,5,39,19,(D),(D),(D),(D)
6003,"Alpine, CA",13,      Durable goods manufacturing,146,110,0,10,4,(D),(D),(D),(D)
6003,"Alpine, CA",25,      Nondurable goods manufacturing,170,48,5,29,15,463,(D),(D),(D)
6003,"Alpine, CA",34,    Wholesale trade,(D),(D),3412,(D),2409,2754,2548,2737,2926
6003,"Alpine, CA",35,    Retail trade,859,(D),525,605,736,850,823,793,(D)
6003,"Alpine, CA",36,    Transportation and warehousing,10,12,(D),(D),(D),(D),(D),152,147
6003,"Alpine, CA",45,    Information,653,191,77,368,161,(D),(D),(D),(D)
6003,"Alpine, CA",50,"    Finance, insurance, real estate, rental, and leasing",(D),25471,24387,26418,29352,34494,36070,38534,40341
6003,"Alpine, CA",51,      Finance and insurance,(D),6,0,0,0,0,3,0,0
6003,"Alpine, CA",56,      Real estate and rental and leasing,25523,25465,24387,26418,29352,34494,36067,38534,40341
6003,"Alpine, CA",59,    Professional and business services,(D),82832,91478,100897,102749,105258,108991,111225,127450
6003,"Alpine, CA",60,"      Professional, scientific, and technical services",(D),(D),(D),(D),20940,(D),(D),(D),(D)
6003,"Alpine, CA",64,      Management of companies and enterprises,63067,66206,70456,80491,81410,83069,87614,89605,104142
6003,"Alpine, CA",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),399,(D),(D),(D),(D)
6003,"Alpine, CA",68,"    Educational services, health care, and social assistance",(D),924,(D),1460,931,1019,1008,926,922
